No,Selected Meals,Ingredients,Weight,kJ,Calorie,Fat ,Saturated ,Carbohydrates ,Sugar,Fiber,Protein,Sodium,Source,Country
11,Beef Wellington,"
1 ⅕ kg beef tenderloin
½ teaspoon salt
½ tsp pepper
2 tablespoons Tine Dairy butter
8 slices of cured ham
2 tablespoons Dijon mustard
3 plates of butter dough
1 egg
150 g of mushroom
2 shallots
2 garlic cloves
1 sprig of fresh thyme
2 tablespoons Tine Dairy butter
½ teaspoon salt
½ tsp pepper
500 g small potatoes
300 g brewed beans
2 tablespoons Tine Dairy butter
½ teaspoon salt
¼ tsp pepper",100,731.3686494,173.8082324,4.961128187,2.017718315,20.85939855,0.108479479,1.810401977,10.52250949,0.274573615,Tine,Norway
12,Bidos,"600 g of reindeer meat
1 piece of onion
2 tablespoons Tine Dairy butter
1 ⅕ l water
4 potatoes
2 carrots
½ pcs leeks
2 bay leaves
1 teaspoon thyme, dried
½ teaspoon salt
¼ tsp pepper
4 slices of bread
2 tablespoons Tine Dairy butter",100,338.2594417,80.89764641,3.732895457,1.923006751,5.641306331,0,1.565407772,5.389527458,0.094070425,Tine,Norway
13,Beef quesadillas,"2 garlic cloves
4 pieces of beef sirloin butt
1 tablespoon sunflower oil
¼ tsp chili powder
1 bell yellow bell pepper
2 tomatoes
4 dl Norvegia® Original or other good yellowstone
4 large soft tortillas
12 cherry tomatoes
½ piece snake cucumber
4 dl lettuce leaves
200 g good and crispy corn
1 glass of tacos sauce
3 dl Tine Lightroom 18%
",100,502.4150871,120.0423362,6.081016069,3.186760319,6.254209564,0,0.916001155,9.648802078,0.174617531,Tine,Norway
14,Biff with Bearné saus,"
½ pcs cauliflower
½ pieces of broccoli
8 medium medium potatoes
1 piece onion finely chopped
2 pieces of celery finely chopped
5 pieces of peppercorn crushed
3 tablespoons vinegar 5%
6 tablespoons water
3 tablespoons fresh tarragon or chervil, finely chopped
3 egg yolks
150 g Tine Dairy butter
¼ tsp salt
½ tsp pepper
4 pieces of beef tenderloin or beef tenderloin
4 tablespoons Tine Dairy butter
1 tablespoon fresh tarragon",100,383.179626,91.54750825,4.667061511,2.511210762,4.179710635,0,1.536509011,7.493019714,0.068567561,Tine,Norway
15,Beef stroganoff,"
700 g of pureed beef cattle
3 tablespoons Tine Dairy butter
1 teaspoon salt
¼ teaspoon freshly ground pepper
1 DL water
2 onions
2 dl meat broth (with roast chicken)
2 tbsp soy sauce
1 tablespoon mustard
1 teaspoon dried thyme
2 dl Tine Light Cream Fraîche 18%
2 tablespoons wheat flour
10 potatoes
3 parts Tinemelk® Whole milk 3.5% fat
2 tablespoons Tine Dairy butter
½ teaspoon salt
½ tsp pepper
¼ tsp nutmeg, grated",100,404.1388151,96.29154839,4.336599213,2.549217105,6.178921344,0.388242835,0.703232305,7.827122058,1.480413882,Tine,Norway
16,Mixed Fish Pot With Estragon,"5 dl water
1 fish broth cube
30 g Tine Dairy butter
2 tablespoons wheat flour
1 dl Tine Food cream
1 piece of red onion
4 carrots
1 pcs fennel
2 tablespoons sunflower oil, rapeseed oil or other neutral oil for frying
300 g of cod fillet
300 g of salmon fillet
1 tablespoon tarragon
½ teaspoon salt
¼ tsp pepper",100,490.149383,116.9084217,4.529118857,1.195063867,9.547521108,0.389694739,2.498376272,8.239878762,1.512275384,Tine,Norway
17,Duck confit with mashed potatoes and red cabbage salad,"4 duck leg
2 tablespoons salt (malton salt)
1 piece garlic
1 teaspoon peppercorns
2 twig of thyme
2 twig of rosemary
6 dl of sunflower oil (possibly duck fat)
1 kg of almond potato
200 g Tine Dairy butter
1 dl Tine Cream
½ teaspoon salt
½ tsp pepper
¼ pcs red cabbage
½ pcs fennel
½ piece lemon
2 tablespoons olive oil
2 tablespoons of leaf parsley
4 tablespoons chopped hazelnuts",100,1385.242887,335.345667,30.13523748,7.93898085,7.618738505,0,5.074110137,5.896353998,0.201817592,Tine,Norway
18,Asian Seiwok,"600 g of pollock chopped fillet
2 tablespoons of sunflower oil for waking
4 tablespoons soy sauce
2 tablespoons Asian fish sauce (from bottle)
2 tablespoons sesame seeds
1 pcs small broccoli
1 piece of red onion in strips
2 carrots in sticks
400 g of cooked egg noodles
2 dl bean sprouts
3 tablespoons fresh, chopped coriander
¼ tsp salt
¼ tsp pepper",100,547.7098741,129.7521733,2.319968859,0.301025042,17.61515505,0,1.385753211,8.895809005,0.386505774,Tine,Norway
19,Eggplant And Squash Bolognese With Pen Pasta,"1 piece onion, finely chopped
1 piece garlic clove, finely chopped
1 eggplant, in cubes
1 piece squash, in cubes
1 bell pepper, in cubes
2 tablespoons Tine Dairy butter
400 g of carbonated or minced meat
1 box of canned tomatoes
½ teaspoon salt
¼ tsp pepper
1 tablespoon dried oregano
400 g pen or other paste
1 dl parmesan, grated
4 small garlic baguettes",100,541.7801047,128.6701571,3.861780105,2.023036649,15.18324607,0,1.403141361,7.614659686,0.26043979,Tine,Norway
20,Baked Root Vegetables With Avocado And Feta Cheese,"
6 carrots
2 pieces of parsnip
½ pcs cabbage root
4 pieces of garlic clove in slices
1 tablespoon fresh thyme, coarsely chopped
¼ tsp salt
¼ tsp pepper
4 tablespoons olive oil
2 pieces of avocado
200 g of feta cheese in cubes
4 tablespoons toasted pine kernels",100,481.571976,116.046398,8.718911551,2.4896479,4.963864098,0,2.196445565,3.333247602,0.150150459,Tine,Norway
21,Beef And Blueberry Sandwich With Pickled Red Onion,"2 pieces of red onion, in thin slices
1 cup white wine vinegar
1 DL water
1 dl sugar
1 dl olive oil
1 tablespoon lime, pressed
1 teaspoon salt
1 tsp black pepper, ground
800 g of beef tenderloin or beef tenderloin
2 tablespoons Tine Dairy butter
4 stk bagel or other pastry
2 tablespoons olive oil
1 piece heart salad
1 dl arugula
200 g Norzola",100,926.1798753,223.1522707,17.50222618,5.017809439,6.522707035,4.007123776,0.471950134,9.652715939,0.252137133,Tine,Norway
22,Steak Strips On Spaghetti With Parsley Pesto,"2 dl leaf parsley
2 garlic cloves
1 box of anchovies
1 dl olive oil
2 tablespoons lemon juice
3 tablespoons Tine Kremgo® Natural
400 g of spaghetti
600 g beef sirloin butt
1 teaspoon salt
½ tsp ground black pepper
2 tablespoons Tine Dairy butter
1 piece of broccoli, divided into small bouquets
3 tablespoons leaf parsley, chopped",100,1014.647887,242.7543036,13.33333333,4.607198748,19.14241002,0.150234742,1.834115806,10.64162754,0.239248826,Tine,Norway
23,Mussels Casserole,"1 kg of mussels
2 garlic cloves
2 spring onions
4 tablespoons fresh chopped herbs (eg basil, dill or leaf parsley)
2 tablespoons Tine Dairy butter
1 ½ dl dry white wine (possibly apple juice)
3 dl Tine Food cream
½ teaspoon freshly ground pepper
1 teaspoon salt",100,403.6257689,96.6008417,6.435739722,3.573972159,1.994172871,0,0.420848171,7.529944966,0.572159275,Tine,Norway
24,Bouillabaisse,"300 g of cod fillet
300 g of salmon fillet
1 bell pepper
1 bell pepper
2 leeks
2 garlic cloves
½ pcs fennel
2 tablespoons olive oil
1 teaspoon dried oregano
800 g canned tomatoes (1 box = 400 g)
5 dl of fishing power or broth
½ dl white wine vinegar
1 tablespoon lemon juice
½ teaspoon salt
¼ tsp pepper",100,338.3697389,80.51145445,3.720831113,0.835375599,3.281832712,0.895045285,1.022908897,8.042621204,3.366052211,Tine,Norway
25,Burning Love,"5 large potatoes
150 g Tine Dairy butter
2 eggs
½ pcs leeks (in strips)
1 dl Jarlsberg® Tear
1 pack of bacon
2 tablespoons Tine Dairy butter for frying
2 apples
1 onion (in rings)
3 tablespoons finely chopped chives
4 pieces of tomatoes",100,836.7775832,202.2329247,17.31611208,8.336252189,5.704903678,0.875656743,1.03765324,5.350262697,0.078283713,Tine,Norway
26,Broccoli And Quinoa Carbonate,"
1 ½ dl quinoa
2 garlic cloves
1 broccoli
50 g Tine Dairy butter
5 cup canned chickpeas
2 dl Jarlsberg® Tear
1 tablespoon mustard
6 tablespoons chickpea flour
½ teaspoon salt
¼ tsp pepper
1 tbsp Tine Dairy butter for frying
2 sweet potatoes
100 g Tine Dairy butter
2 teaspoons grated fresh ginger
1 tablespoon finely chopped chives
1 piece of red onion
8 clemenTines
1 dl Tine Light flow 10%",100,512.9730748,122.34984,4.74110337,2.338542647,12.80738091,0.082846921,3.716814159,5.294671437,0.167237808,Tine,Norway
27,Bulgur With Chicken And Spinach,"
300 g bulgur
1 tbsp Tine Dairy butter for frying
3 pieces of chicken breast, in pieces
1 bell pepper, in chunks
1 piece leeks, in pieces
½ teaspoon salt
¼ tsp pepper
2 garlic cloves, chopped
100 g spinach
1 tbsp Tine Dairy butter
2 tablespoons tomato puree
4 tablespoons mascarpone",100,2208.780655,535.3455668,52.76281941,33.5997256,7.127422398,0,0.881495455,7.54244555,0.39331161,Tine,Norway
28,Burrito Meatballs With Bean Salad,"800 g of meat dough
1 dl Tine Genuine Grated Cheese Original
1 bag of Old El Paso Burrito Spice Mix
2 tablespoons Tine Dairy butter, for frying
3 dl Tine Lightroom 10%
1 glass of Old El Paso Thick'n Chunky Salsa
1 box of kidney beans
1 box of chickpeas
2 spring onions, finely chopped
2 tablespoons fresh coriander, finely chopped
1 ½ dl of olive oil
1 piece of lemon
½ teaspoon salt
¼ tsp pepper",100,2052.384216,497.1311074,47.74503084,29.1256242,8.265935572,0,2.212865955,7.504161363,0.437442475,Tine,Norway
29,Butter Chicken,"
5 pieces of garlic clove
3 cm ginger root
2 dl Tine Yogurt Natural
1 tbsp soy oil
1 teaspoon salt
1 tbsp garam masala
1 teaspoon paprika powder
¼ tsp saffron thread or turmeric
4 chicken thighs
1 piece of onion
4 tablespoons Tine Dairy butter
6 whole cardamom capsules
1 whole cinnamon stick
4 whole cloves
2 chili pieces
2 tins of canned tomatoes, roughly chopped
2 tablespoons tomato puree
1 cup cashew nuts
3 dl water
2 dl Tine Cream
4 tablespoons coriander
4 tablespoons cashew nuts
4 pieces of naan bread
",100,832.0494935,199.9454115,13.77448899,4.094134773,10.10493116,0,1.495117365,8.145811852,0.133650755,Tine,Norway
30,Bean And Chorizo Wrap,"2 ripe avocados
2 drops of tabasco
2 dl Tine Lightroom 18%
8 pieces of tortillas (preferably whole grains)
2 dl black beans
3 tablespoons jalapenos (can be looped)
100 g chorizo, in chunks or slices
½ piece salad
4 tomatoes, in boats
1 piece of red onion, in strips",100,660.2745156,158.3172291,8.998563005,2.824438829,13.49288935,0,2.27441653,4.69253258,0.273326396,Tine,Norway
31,Cannelloni,"12 lasagna plate
1 piece of onion
250 g of mushroom
2 tablespoons Tine Dairy butter
100 g of bacon
200 g of meat dough
2 tablespoons tomato puree
¼ tsp salt
¼ tsp pepper
2 tablespoons minced parsley
2 dl meat broth
1 egg
1 dl Tine Light flow 18%
100 g Norvegia® Tear",100,2213.356144,536.5041345,53.23752495,33.90248075,9.106358711,0.191616766,1.149700599,4.674080411,1.081106359,Tine,Norway
32,Chili and Lime Glazed Salmon With Rice,"200 g instant rice, uncooked
1 piece of lime
4 tablespoons sweet chili sauce
500 g SALMA salmon
1 piece of red chili
1 garlic clove
1 tablespoon ginger, finely chopped
4 tablespoons Tine Dairy butter
½ pcs Chinese cabbage, shredded
4 tablespoons soy sauce
2 tablespoons sesame seeds",100,2463.511745,598.0850038,62.55286905,39.7175725,5.975063718,0.179100365,0.618585107,2.501894331,0.566411793,Tine,Norway
33,Chili fish balls with rice and mango,"800g cod fillet without skins and bones
1 egg
2 tablespoons chili paste
½ piece pressed lime
¼ tsp salt
½ teaspoon sugar
2 tablespoons of fish sauce
1 spring onion
1 tbsp Tine Dairy butter for frying
2 bags of pre boiled rice
1 mango
4 tablespoons chili sauce",100,376.0125152,89.06657396,2.058056666,0.792629932,5.325916913,0,1.6617417,11.5139927,0.345836955,Tine,Norway
34,Chili Habanero Dipp With Mango And Cheese,"
3 dl Kesam® Original
1 ½ dl of mangochutney
½ pieces of habanero, or other chili
½ tsp turmeric
4 chicken fillets
2 tablespoons olive oil
2 tablespoons taco seasoning
4 pieces of tortillas
1 piece of chili
¼ bunch of fresh coriander",100,632.2623385,150.6459092,5.233521033,1.861543557,8.61874793,0,0.569725075,16.96588274,0.457171249,Tine,Norway
35,Coq Au Vin,"4 dl red wine
2 cloves of garlic, finely chopped
1 tsp bay leaf
2 tablespoons fresh thyme, chopped
1 piece of chicken
100 g  lettsaltet sideflesk
1 teaspoon salt
1 tsp ground black pepper
8 cup chicken broth
1 tablespoon tomato paste
15 g of shallots
250 g fresh mushroom
2 tablespoons Tine Dairy butter
1 tablespoon wheat flour
4 slices of coarse bread",100,622.173532,148.3494011,6.768916155,2.862985685,6.292725679,2.45398773,0.651475314,13.43266141,9.12751972,Tine,Norway
36,Cottage Cheese-Taco,"1 piece of onion
1 garlic clove
1 tbsp Tine Dairy butter
2 tablespoons taco spice
400 g of kidney beans
250 g Tine Lean Cottage Cheese
1 piece of chili
8 coarse tortilla leeks
2 dl salad mix
1 piece of avocado
2 dl Tine Genuine Grated Cheese Original
4 tablespoons tomato salsa
4 tablespoons Kesam® Lean Natural, or sour cream",100,994.4178628,237.7990431,11.89261031,5.311004785,23.9553429,0,2.737905369,7.384370016,0.33625731,Tine,Norway
37,Cowboy Casserole With Beef,"500 g of beef
2 tablespoons sunflower oil, rapeseed oil or other neutral oil for frying
2 onions
4 carrots
5 potatoes
1 can of 400 g canned tomatoes
5 dl water
5 dl broth (possibly water added broth)
200 g of peas
1 tsp thyme
2 tablespoons corn
3 tablespoons water to the corn
½ teaspoon salt
½ tsp pepper
4 slices of bread
2 tablespoons Tine Dairy butter",100,348.2036438,82.8196833,2.932061979,1.191895113,6.395368636,0.715137068,1.620977354,6.933424144,2.715341393,Tine,Norway
38,Crispy Chicken American Style,"
600 g of chicken fillets
3 dl wheat flour
1 teaspoon paprika powder
¼ tsp salt
¼ tsp pepper
2 dl Tine Light Crème Fraîche 10% or kefir
1 l frying oil
1 bag of dip mix
3 dl Tine Lightroom 18%
100 g salad
12 cherry tomatoes, split in two
½ pc red onion, in boats
200 g of corn
",100,1554.619418,376.5322726,35.63189297,10.60567709,6.772735491,0,0.835291991,6.751039595,0.146989694,Tine,Norway
39,Crudo With Salmon And Avocado,"400 g SALMA salmon
1 piece of lemon
2 pieces of avocados, in pieces
2 dl ruccola
2 dl of field salad
2 spring onions, finely sliced
½ teaspoon salt
¼ tsp pepper
4 tablespoons olive oil
4 tablespoons of caper ",100,803.8870056,194.3502825,17.26553672,2.955932203,0.542372881,0,1.78079096,8.334463277,0.295683616,Tine,Norway
40,Dahi Malai Murgh,"
6 dl Tine Yogurt Natural
500 g of chicken fillets
1 teaspoon salt
1 teaspoon pepper
2 tablespoons clarified butter
2 ½ dl Tine Cream
2 tablespoons dried fenugreek leaves
½ pc red onion
½ piece cucumber
100 g of green salad
4 pieces of naan bread",100,478.6724981,114.5356316,5.644455879,3.236429123,6.493439671,0,1.147414458,8.844867507,0.198250579,Tine,Norway
41,Exotic Chicken With Mango,"
240 g instant rice or other rice
1 piece of onion
½ tablespoon lemon peel
4 chicken fillets
2 tablespoons sunflower oil, rapeseed oil or other neutral oil for frying
3 cup chicken broth
2 mangoes
½ teaspoon salt
¼ tsp chili powder
1 ½ dl Tine Food cream",100,539.1839148,127.9243051,3.486694264,1.263157895,13.39798936,0.236546422,0.510940272,10.51685393,0.964589,Tine,Norway
42,Enchiladas With Meat Dough,"
1 piece of onion
½ pc red chilli
2 garlic cloves
2 tablespoons olive oil
400 g canned tomatoes
½ teaspoon salt
1 tablespoon sugar
400 g of meat dough
½ teaspoon salt
¼ tsp pepper
2 teaspoons taco spice mix
1 piece of onion
1 bell pepper
1 bell pepper
8 piece tortillas, preferably whole grains
200 g Norvegia® Grated or other grated yellow cheese
1 dl Tine Light flow 18%",100,599.6696399,142.979848,6.268032155,2.977645634,12.68582755,0.57262416,1.312630768,8.325074331,0.527298756,Tine,Norway
43,Simple Gazpacho With Fast Garlic Bread,"
4 slices loff
2 tablespoons Tine Dairy butter
1 piece garlic clove, chopped
2 tablespoons parsley, chopped
1 piece yellow onion, chopped coarsely
1 piece garlic clove, chopped
1 piece cucumber, in pieces
1 teaspoon salt
2 teaspoons sugar
1 tbsp tabasco
1 teaspoon apple cider vinegar
1 box of canned tomatoes
2 tablespoons olive oil
4 basil leaves
12 cherry tomatoes",100,431.4114114,103.4834835,7.489489489,3.183183183,4.06006006,0.600600601,1.105105105,4.486486486,0.342642643,Tine,Norway
44,Entrecote With Blue Mustard And Oven Baked Potato Boats,"200 g of asparagus beans
2 tablespoons balsamic vinegar
¼ tsp salt
16 cherry tomatoes
4 slices entrecote
½ teaspoon salt
½ tsp pepper
1 tbsp canola oil
2 tablespoons Tine Dairy butter
4 pieces of garlic clove
4 slices of Norzola, or other blue mustard cheese
8 potatoes, in boats
2 tablespoons olive oil
2 tablespoons fresh thyme, chopped
½ teaspoon salt
½ tsp pepper
1 teaspoon paprika powder
3 tsp Tine Dairy butter",100,680.0157253,163.3861879,11.1492596,5.346612502,4.942995676,0,1.085047831,10.26864107,0.276556152,Tine,Norway
45,Fajitas With Shredded Pork,"1 piece of red sweet pepper in strips
1 piece yellow bell pepper in strips
1 piece of green pepper in strips
400 g shredded pork
1 piece finely chopped garlic clove
1 tbsp Tine Dairy butter
1 piece red onion in thin boats
2 tablespoons fajita spice mix
2 avocados
8 pieces of tortillas
3 dl Tine Lightroom 18%
3 glasses of tomato salsa",100,665.6413841,159.3498777,8.381684726,3.100314575,14.99825236,0,1.12198532,5.40720028,0.270290108,Tine,Norway
46,sautéed reindeer,"2 tablespoons Tine Dairy butter for frying
500 g of frozen reindeer
150 g of bacon, in cubes
250 g fresh mushroom, in boats
2dl water
3 dl Tine sour cream
1 dl Tinemelk® Whole milk 3.5% fat
3 slices Tine Real Goat Cheese
5 pieces of juniper, crushed
½ teaspoon dried thyme
1 teaspoon salt
½ tsp pepper
10 potatoes
3 tablespoons Tinemelk® Whole milk 3.5% fat
2 tablespoons Tine Dairy butter
½ teaspoon salt
½ tsp pepper
¼ tsp nutmeg, grated",100,637.466902,153.5304501,11.760812,6.434245366,4.708737864,0,0.750220653,6.831421006,0.236937334,Tine,Norway
47,Fish & Chips,"
2 tablespoons chopped capers
2 tablespoons coarsely chopped jam cucumber
1 tablespoon chopped tarragon
2 tablespoons lemon juice
4 tablespoons mayonnaise
2 dl Tine Light 2% (a good alternative to sour cream)
800g cod fillet without skins and bones
1 dl wheat flour
1 egg
2 cups breadcrumbs or panko
1 teaspoon salt
½ tsp pepper
½ dl finely grated parmesan
8 large potatoes
1 l of sunflower oil
1 lemon for serving",100,14.09558379,335.9649123,28.55716878,3.360556564,13.5722928,0.036297641,0.623109498,5.849969752,0.14676346,Tine,Norway
48,Fishing Form With Shrimp,"
600 g of cod fillet or other white fish
1 teaspoon salt
¼ tsp pepper
250 g of purified shrimp
800 g of potatoes
1 dl Tinemelk® Low-fat 1% fat
2 tablespoons Tine Dairy butter
1 egg yolk
¼ tsp salt
¼ tsp pepper
1 dl of fishing power
3 dl Tine Food cream
1 tablespoon fish broth
2 tablespoons wheat flour
1 tablespoon lemon juice
3 tablespoons chopped dill
1 piece lemon (boats for decoration)",100,387.6540564,92.55170936,4.346800986,2.417747294,5.594255707,0.180045011,0.561568964,7.489015111,0.967784803,Tine,Norway
49,Fish Sticks With Potato Mash And Root Vegetables,"
600g cod fillet (or other type of fish fillet)
1 dl wheat flour
½ teaspoon salt
½ tsp pepper
2 eggs, whipped together
2 dl onion corn, germ meal or dried bread crumbs
800 g of potatoes
3 dl Tine Light Food Cream or TineMelk Whole
50 g Tine Dairy butter
¼ t of nutmeg
½ tsp pepper
1 teaspoon salt
4 carrots
200 g of cabbage root
1 piece of onion
1 celery root
2 tablespoons olive oil
½ teaspoon salt
½ tsp pepper",100,476.0994953,113.5904831,5.050468637,2.512617159,10.92645999,0,1.467195386,5.392934391,0.141600577,Tine,Norway
50,Fishing Wok With Ginger,"
600 g SALMA or other good skinless and boneless salmon fillet
½ teaspoon salt
1 piece of red onion
1 bell pepper
2 garlic cloves
2 spring onions
2 tablespoons Tine Dairy butter
3 teaspoons grated fresh ginger
1 tablespoon soy sauce
3 dl Tine Light Cream Fraîche 18%
3 dl uncooked rice, as desired",100,831.36,198.976,11.3344,4.3264,14.3104,0,0.512,9.696,0.178624,Tine,Norway
51,Fish curry,"
2 tablespoons of sunflower oil
2 onions
4 pieces of garlic clove
2 tablespoons curry
2 cups coconut milk
3 tablespoons mangochutney
2dl water
240 g of rice
700 g cod fillets",100,563.5253906,134.6191406,6.655273438,4.575195313,10.76171875,0,0.874023438,7.465820313,0.053417969,Tine,Norway
52,Whole Wheat Pasta With Kale And Cottage Cheese,"500 g of penne whole grain pasta
1 garlic clove
3 dl kale, shredded
1 tbsp Tine Dairy butter
8 cherry tomatoes
3 dl black olives without stone
1 teaspoon oregano spice
2 tablespoons balsamic vinegar
4 tablespoons olive oil
½ teaspoon salt
¼ tsp pepper
3 dl Tine Skinny Cottage Cheese
1 dl Tine Lett Crème Fraîche 18%
1 cup parmesan",100,901.4718657,215.3352991,9.78185066,3.866247415,22.579619,0,3.303439247,7.579557829,0.271249067,Tine,Norway
53,Grilled Ratatouille With Pasta,"
300 g of uncooked pasta
2 onions
2 pieces of squash
6 tomatoes
4 pieces of garlic clove
2 tbsp of Tine Dairy butter for frying
50 g capers
½ teaspoon salt
¼ tsp pepper
3 dl Jarlsberg® Revet",100,369.04339,88.25171276,3.892413093,2.136513575,8.749048465,0,1.314387211,3.872113677,0.229434154,Tine,Norway
54,Meat With Cranberry Cream,"
1 tablespoon juniper berry
½ pot of fresh rosemary
1 teaspoon coarsely ground pepper
2 tablespoons salt
2 tablespoons sugar
½ dl of cognac
½ dl of olive oil
1 kg of beef, elk or reindeer
1 dl cranberries
3 dl Tine Lightroom 18%
1 pack of flatbread",100,738.7387387,176.3121817,7.099490795,2.815315315,12.00058754,1.326870349,2.399138269,13.46944771,0.870005876,Tine,Norway
55,Greek Chicken,"4 chicken fillets (about 100 g per person)
1 tbsp Tine Dairy butter
1 teaspoon salt
½ teaspoon freshly ground pepper
2 garlic cloves
1 tbsp Tine Dairy butter
2 dl chicken broth
3 dl Tine Lett Crème Fraîche 10%
50 g of feta cheese
2 tsp oregano spices
2 tbsp soy sauce
½ liter mixed salad
12 cherry tomatoes split in two
1 cup fresh oregano
8 black olives
8 black olives",100,553.0730576,132.8952455,7.707769617,3.911867027,3.811364515,0.64940085,2.079628914,11.01662157,2.93189022,Tine,Norway
