No,Selected Meals,Ingredients,Weight,kJ,Calorie,Fat,Saturated ,Carbohydrates,Sugar,Fiber,Protein ,Sodium,Source,Country
11,"Fresh pasta with salmon, cream and peas","400 g of tagliatelle pasta
1 tablespoon olive oil, for frying
500 g of salmon fillet
0.75 hp peas, frozen
1 clove of garlic
3 dl food cream
1 pinch of salt, sea salt
1 pinch of pepper, w / mill
70 g parmesan, for serving",100,955.4061868,228.8956346,13.52269442,5.030355594,13.5154669,0,0.99017057,12.78548714,0.144405898,Kolonialen,Norway
12,"Fish stew with sea delicacies, vegetables & pasta","1 piece fish soup base
1 liter of water
3 dl crème fraîche
2 carrots, normal size
1 piece squash
250 g trout fillet
250 g cod fillet, frozen
100 g of sugar peas
250 g shellfish mix
100 g of spaghetti
1 handful of dill, fresh
0.5 pcs lemon",100,367.2232742,87.86365984,4.9819246,2.613186435,4.00413152,0.309864004,0.48889654,6.52091582,1.161370288,Kolonialen,Norway
13,Cream-grated potatoes with fennel and chicken pieces,"3 dl food cream
2 cups milk, whole
3 cloves of garlic, crushed
4 spring onions, finely chopped
450 g potatoes, in slices
1 piece fennel, fresh, sliced
200 g jarlsberg, grated
1 pinch of malton salt
1 pinch of pepper, w / mill
2 pieces of chicken breast",100,494.6262587,118.4643687,6.821262587,4.047250194,5.27207591,0,0.619674671,8.704492641,0.075619675,Kolonialen,Norway
14,Foliebakt laks med risotto,"
4 salmon fillets
2 carrots, normal size
1 celery root
1 dl honey
2 cloves of garlic, finely chopped
1 tablespoon olive oil
1 tablespoon vinegar (clear)
2 tablespoons thyme, fresh, chopped
1 pinch of salt, sea salt
1 pinch of pepper, w / mill
2 pieces of risotto rice with mushrooms
4 tablespoons olive oil
3 tablespoons butter
2 handfuls of parmesan",100,891.1750124,213.6217154,13.20029747,3.718393654,12.41323748,0,1.084531482,10.77094695,0.071331185,Kolonialen,Norway
15,Fruit Package,"
9 bananas
1 bunch of grapes, green
1 bunch grapes, red
3 pears
6 pieces of kiwi
4 orange pieces
3 pieces of apple, green
3 pieces of apple, red
1 pineapple, whole
1 mango
1 pcs mini carrots
1 pc blueberry basket
1 piece raspberry basket",100,222.1886792,52.45283019,0.247169811,0.035849057,10.71509434,0,2.290566038,0.701886792,0.000754717,Kolonialen,Norway
16,Fresh curry soup with chicken,"
4 pieces of chicken fillet
500 ml of coconut milk
50 g of ginger, fresh
2 pieces of lemon grass, fresh
1 chili pepper, green
0.5 tablespoons curry
3 cloves of garlic
200 g of peas, frozen
2 pinches of cayenne pepper",100,562.4041901,135.1558508,8.060807358,6.317066939,1.992846193,0,1.386050077,12.91517629,0.041581502,Kolonialen,Norway
17,Fårikål,"1.5 kg sheep cabbage meat
1.5 pcs head cabbage
4 tsp pepper, whole
2 tsp salt
4 DL water
600 g of potatoes",100,282.6039025,66.99922831,1.670157645,0.70830118,3.20526954,0,0.713813251,9.455958549,0.179831331,Kolonialen,Norway
18,Greek moussaka,"1 hp toro greek moussaka
400 g minced beef, cattle
1 eggplant
1 piece squash
3.5 dl water
5.5 dl milk, light
0.5 tsp thyme, dried
100 g of grated cheese
4 pieces of tomato
1 cucumber
0.5 pieces of red onion
1 piece of feta cheese marinated",100,240.5227067,57.31659982,2.759089145,1.678742399,2.15422435,0.009703713,0.595161082,5.705783413,0.155227067,Kolonialen,Norway
19,Grilled beefblings with cold-stirred bearnaise,"
8 potatoes (amandine), in boats
3 tablespoons olive oil
0.25 teaspoon salt, sea salt
0.25 tsp pepper, m / mill
1 tablespoon butter, for frying
400 g outer fillet, cattle, slices
0.25 pieces of bread, coarsely, whole, into slices
0.5 piece crispis salad
1 piece red onion, finely sliced
1 hp bearnaise sauce, mix
3 dl crème fraîche",100,612.8996934,147.1200175,9.784275077,5.004380201,8.245729304,0.043802015,0.96911958,6.066579063,0.085249672,Kolonialen,Norway
20,Grilled halloumi with strawberries and herbs,"
1 hp halloumi
2 tablespoons olive oil
1 piece of lime, the juice of
2 tablespoons of honey
2 pinch of pepper, w / mill
1 piece strawberry basket
1 handful of mint, fresh, coarsely chopped
1 handful of coriander, fresh, coarsely chopped",100,948.0630055,227.5436356,14.04853129,7.002979991,12.2605364,0,2.426564496,11.81353768,0.744359302,Kolonialen,Norway
21,Grilled chicken fillet with mango sauce and noodle salad,"4 pieces of chicken fillet
0.5 hp mango chutney
1 pinch of salt, sea salt
1 pinch of pepper, w / mill
250 g egg noodles
2 pieces of mango, in pieces
1 piece avocado, in pieces
1 chili pepper, red, finely chopped
5 spring onions, chopped
1 handful of coriander, fresh, chopped
1 piece of lime
4 tablespoons soy sauce
0.5 teaspoon sugar",100,465.0672718,110.390663,2.743556492,0.530880207,11.79283514,0.101313017,1.09012806,9.10196142,0.193305236,Kolonialen,Norway
22,Grilled SALMA with bulgur salad,"
600 g salmon fillet, loin
0.5 pcs lemon
2 tablespoons olive oil, extra virgin
80 g bulgur
2 pieces of tomato
0.5 pcs avocado
1 piece of red onion
0.5 pcs dill, fresh
1 tablespoon olive oil, extra virgin
1 teaspoon salt, sea salt
0.25 tsp pepper, m / mill
2 cups crème fraîche
2 tablespoons sweet chili sauce
1 piece of lime, use only the juice",100,887.5816993,214.2156863,17.85947712,7.440087146,4.319172113,0,1.67211329,8.235294118,0.202777778,Kolonialen,Norway
23,Rough fish cakes with carrot stew,"
600 g fish cakes, coarse
2 carrots, normal size
100 g of sugar peas
2dl water
0.5 teaspoon salt, sea salt
1 tablespoon wheat flour, sifted
1 dl food cream
8 potatoes",100,339.9918881,80.91664977,2.372743865,0.82640438,9.394646116,0,1.353680795,4.796187386,0.259024539,Kolonialen,Norway
24,Hanger steak with cherry tomato sauce and crispy corn cob salad,"
400g hanger steak angus
1 piece corn cobs
200 g cherry tomatoes, red
1 piece of red onion
1 tablespoon mint, fresh
1 tablespoon olive oil
1 teaspoon balsamic vinegar, a few drops
500 g cherry tomatoes, red
4 tablespoons olive oil
2 cloves of garlic
1 pinch of salt, sea salt
1 pinch of white pepper, ground",100,356.8166993,85.01848228,3.022396173,0.880626223,3.652968037,0,1.228527941,10.17612524,0.038486628,Kolonialen,Norway
25,"Roast pork fillet with choron sauce, spring onion and cauliflower","
900 g pork, tenderloin
2 tablespoons butter, for frying
1 handful of tarragon, fresh
1 hp bearnaise base
1.5 dl water
2 cups milk, light
1 tablespoon tomato paste
75 g butter, preferably soft
1 cauliflower
300 g of spring onion",100,421.5070644,100.9026688,5.886970173,3.269230769,2.291993721,0.031397174,0.796703297,9.301412873,0.068406594,Kolonialen,Norway
26,Indian Chicken,"
4 pieces of chicken fillet, in pieces
2 pcs yellow onion, in thin slices
5 cloves of garlic, finely chopped
2 chili peppers, red, or smaller for delicate palates, chopped
400 ml of coconut milk
50 g cashew nuts
2 tsp garam masala spices
1 piece of lime, the juice
2 tsp curry
3 tablespoons olive oil
1 piece coriander, fresh
1 teaspoon salt, sea salt
1 hp of naan bread
250 g jasmine rice (boil-in-bag)",100,720.9266802,172.1995927,7.881873727,4.297352342,13.33503055,0,1.084521385,11.42566191,0.171792261,Kolonialen,Norway
27,Jerk chicken with mango salad and rice,"
4 chicken thighs
400 g jasmine rice (boil-in-bag)
2 pieces of mango
2 pieces of avocado
1 piece of lime
0.5 pcs yellow onion
2 spring onions
2 cloves of garlic
1 tablespoon ginger, fresh, grated
1 chili pepper, red
1 tablespoon brown sugar
1 tablespoon red wine vinegar
2 cups of soy sauce
1 piece of lime
1 tbsp allspice, painted
1 teaspoon of cinnamon
1 teaspoon nutmeg, ground
1 teaspoon salt, sea salt
1 teaspoon pepper, m / mill",100,601.720318,143.2620878,5.551935358,1.374951127,16.9490421,0.306268735,1.091489639,5.86146227,1.289423954,Kolonialen,Norway
28,Christmas ham,"
1 Christmas ham
1 dl mustard, coarse
1 dl brown sugar
0.5 dl honey
0.5 dl bread crumb",100,956.2227667,228.9624183,13.88208061,4.602396516,10.62772331,5.433006536,0.279139433,15.28458606,0.105255991,Kolonialen,Norway
29,Chickpea curry with rice and Greek yogurt,"
4 hp chickpeas
1 pcs yellow onion, in cubes
2 cloves of garlic, finely chopped
1 teaspoon cumin
1 teaspoon coriander malt
1 tsp cayenne pepper
0.5 tsp chili spice
0.25 tsp cinnamon
400 g tomatoes, chopped
1 teaspoon salt, sea salt
1 handful parsley, fresh, coarsely chopped
3 cups yogurt, Greek
2 tablespoons olive oil
260 g of basmati rice",100,638.0551612,151.4905699,2.352464003,0.709795173,23.54491989,0.760494829,3.229568039,7.371729872,0.162340296,Kolonialen,Norway
30,Meatballs with oven-baked vegetables and spicy cream sauce,"
5 pieces of carrot, normal size
1 piece of red onion
1 piece squash
2 bell peppers, red
2 cloves of garlic
3 tablespoons olive oil
0.5 tsp thyme, fresh
750 g meatballs
1 hp potato steps
1 piece cream sauce base
2 dl food cream
3 dl water
1 tablespoon mustard, coarse
1 tbsp tarragon, fresh, finely chopped",100,344.6570703,82.37087214,4.528365792,2.089754445,3.603725656,0.074513124,0.850127011,6.397967824,0.137341236,Kolonialen,Norway
31,Meatball in brown gravy,"
500 g minced beef, cattle
2 cups milk, light
10 pcs loff, whole, slices without crust
1 shallot, finely chopped
2 cloves of garlic, finely chopped
1 handful of mugs, fresh, finely chopped
1 handful of chervil, finely chopped
1 pinch of salt, sea salt
1 pinch of pepper, w / mill
1 tablespoon olive oil, extra virgin
1 tablespoon butter
4 tablespoons butter
4 tablespoons wheat flour, sifted
12 g beef fund
6 cup water
2 pieces of shallots
1 pinch of pepper, w / mill
1 pinch of salt, sea salt
500 g cranberry jam
200 g of sugar
600 g of head cabbage
4 cups cream
4 tablespoons sour cream, easy
1 teaspoon nutmeg, ground
1 pinch of salt, sea salt
1 pinch of pepper, w / mill
2 hp peas, frozen
100 g butter
1 pinch of salt, sea salt
1 pinch of white pepper, ground",100,625.3446493,149.814751,8.756246769,5.16973979,11.51344132,4.308116491,2.164828537,5.176201965,0.106432018,Kolonialen,Norway
32,Meat skewers with quinoa salad,"
600 g outer fillet, cattle, slices
1 pinch of salt, sea salt
1 pinch of pepper, w / mill
1 tablespoon butter
2 dl of quinoa
1 cucumber, in cubes
1 bell pepper, red, in cubes
200 g cherry tomatoes, red, divided into four
1 piece mug, fresh, coarsely chopped
1 piece of lime, the juice of",100,397.066459,94.30166147,2.881619938,1.213655244,6.40576324,0,1.466770509,9.994807892,0.035046729,Kolonialen,Norway
33,Classic lamb stew with mashed potatoes,"600 g lamb, pot meat
200 g of shallots
3 tablespoons olive oil
4 pieces of carrot, normal size, in cubes
2 cloves of garlic, finely chopped
1 piece tomatoes, chopped
1 teaspoon salt, sea salt
1 teaspoon pepper, m / mill
5 dl meat broth
1 piece of bay leaf, whole
400 g of tomato beans
2 tablespoons balsamic vinegar
800 g of potatoes
2 cups milk, light
1 tablespoon butter
1 pinch of salt, sea salt
1 pinch of pepper, w / mill",100,371.2739532,88.30139579,2.463330968,0.768866809,8.442748995,0.668322687,1.626449018,7.271705701,2.399574166,Kolonialen,Norway
34,Crispbread with mackerel in tomato and chef salad,"
3 pieces of tomato mackerel, large box or tube
1 hp crispy bread, coarse
1 broccoli
5 eggs
1 cucumber
1 piece of red onion
1 hp salad mix
300 g of lentils, green or alternatively cooked chickpeas
200 g cherry tomatoes, red",100,717.1590909,171.6193182,8.883522727,1.599431818,11.12215909,0.258522727,3.286931818,10.1875,0.181903409,Kolonialen,Norway
35,Cutlets and vegetables in shape,"
2 hp pork chops
1 piece squash, in cubes
1 pcs yellow onion, in cubes
4 pieces of carrot, normal size, in cubes
1 sliced onion, in slices
2 tsp oregano, dried
1 teaspoon salt, sea salt
1 teaspoon pepper, m / mill
260 g of basmati rice
1 cup soy sauce",100,715.6479365,171.1587053,9.559619781,3.275779088,8.711346408,0,0.478281795,12.35410901,0.702502707,Kolonialen,Norway
36,Creamy chicken pasta with broccoli,"400 g of tagliatelle
4 pieces of chicken fillet
1 teaspoon salt, sea salt
1 teaspoon pepper, m / mill
1 teaspoon paprika spice
2 tablespoons butter
2 cloves of garlic, finely chopped
1 piece of broccoli, in small bouquets
2 tablespoons butter
2 tablespoons wheat flour, sifted
4 cups milk, light
2 parts parmesan, grated
0.5 teaspoon salt, sea salt
0.25 tsp nutmeg, ground
1 handful parsley, fresh, coarsely chopped
1 piece lemon, in slices",100,474.9684918,113.0443915,4.040050413,2.125052514,8.276151799,0,0.899733931,10.46772161,0.238026887,Kolonialen,Norway
37,Creamy pasta shape with salmon,"
4 salmon fillets
1 pinch of salt, sea salt
1 pinch of pepper, w / mill
2 tablespoons canola oil
300 g pasta fusilli
200 g of broccoli
2 cups crème fraîche
1 handful of basil, fresh, coarsely chopped
1 dl parmesan, grated
1 handful of dill, fresh
1 piece of lemon, the juice of",100,990.1708791,238.5287258,17.8732924,8.216716645,8.82359941,0,1.291113332,9.912418487,38.74529963,Kolonialen,Norway
38,Creamy pasta with mushrooms and dill,"
400 g of spaghetti
1 pcs yellow onion, in cubes
200 g aroma mushroom
100 g of mushroom
2 cloves of garlic, finely chopped
2 tablespoons olive oil
3 dl food cream
2 dl chicken / chicken broth
1 handful of dill, fresh, coarsely chopped
70 g of parmesan, grated
1 pinch of salt, sea salt
1 pinch of pepper, w / mill
2 baguettes, white, half fried
1 clove of garlic, divided into 2
2 tablespoons olive oil",100,911.9337779,217.1188779,7.898367441,3.437571856,27.05794436,0.482869625,2.01770522,8.438721545,1.888250172,Kolonialen,Norway
39,Creamy pasta with asparagus,"400 g of spaghetti
2 hp asparagus
1 piece red onion, finely chopped
1 chili pepper, red, finely chopped
2 cups cream
1 handful of basil, fresh, finely chopped
1 pinch of salt, sea salt
1 pinch of pepper, w / mill
2 garlic baguettes",100,933.9441312,222.3859559,8.309841107,4.126089185,29.70271656,0,1.998974885,6.20835469,0.104818042,Kolonialen,Norway
40,Creamy potato salad with salmon,"800 g potatoes (amandine)
4 salmon fillets
3 cups cream, light
2 tablespoons mayonnaise
0.5 pcs lemon, the juice of
2 tablespoons sugar
1 handful of dill, fresh, coarsely chopped
1 piece red onion, finely chopped
1 cucumber, in thin strips
100 g pickle, sliced, finely chopped
1 piece heart salad, coarsely chopped",100,575.6962865,138.229443,9.572281167,3.75,6.654509284,1.031167109,0.762599469,6.034482759,0.049734748,Kolonialen,Norway
41,"Creamy spaghetti with chicken, sun-dried tomatoes and mushrooms","
1 broccoli
300 g of spaghetti
4 pieces of chicken fillet
2 red onions
1 chili pepper, red
200 g tomato, sun-dried
3 cups cream
2 cups of water
1 piece vegetable broth, dice only
2 tablespoons ketchup
250 g of mushroom",100,515.7096425,122.9956663,5.024377031,2.673347779,10.14084507,0.406283857,1.608884074,8.534669556,1.037323944,Kolonialen,Norway
42,Pad thai with chicken,"
150 g rice noodles
150 g pad thai wax sauce
400 g of chicken fillet
400 g wok mixture with asparagus beans, carrot and leek
4 handfuls of coriander, fresh
2 tablespoons olive oil",100,587.1666667,139.4166667,2.775,0.433333333,17.51666667,0,1.758333333,10.16666667,0.911166667,Kolonialen,Norway
43,"Salmon fillet, broccoli and hollandaise with orange flavor","
900 g of salmon fillet
1 hp salad mix
2 orange
1 hp cherry tomatoes, red
1 piece of red onion
1 piece hollandaise base
1 cup orange juice
0.5 dl water
2 dl milk, extra light
50 g butter
1 broccoli
1 hp jasmine rice (boil-in-bag)",100,709.892585,169.7418573,9.260221759,3.811503812,13.60880111,0,1.117463617,7.467082466,0.044222107,Kolonialen,Norway
44,Salmon Spear,"
4 salmon fillets
0.5 pcs squash, into slices, split in two
1 bell pepper, red, in rough chunks
1 bell pepper, yellow, into coarse pieces
3 tablespoons olive oil
1 pinch of salt, sea salt
1 pinch of pepper, w / mill
600 g of potatoes
4 tablespoons olive oil, extra virgin
1 pinch of salt, sea salt
1 pinch of pepper, w / mill
1 teaspoon paprika spice
3 cups cream, light
2 tablespoons sweet chili sauce",100,7.223862048,168.3625913,13.03790586,4.722696908,5.476153488,0,0.893273264,6.882087929,0.052159391,Kolonialen,Norway
45,Salmon taco in heart salad,"500 g of salmon fillet
1 pinch of salt, sea salt
1 pinch of pepper, w / mill
2 pieces of lime, the juice of
1.5 pcs avocado
2 cloves of garlic
1 chili pepper, red
1 pinch of coriander, fresh
10 cherry tomatoes, red
1 piece of red onion
1 hp heart salad
1 mango
1 cucumber
1 piece of red onion
0.5 hp radish
1 piece of lime, the juice of
1 handful of coriander, fresh
1 chili pepper, red",100,394.3089431,94.73312124,6.526157653,1.175326971,3.039943443,0,1.431601273,5.284552846,0.020060092,Kolonialen,Norway
46,Salmon with a mango salad,"500 g of salmon fillet
2 tablespoons canola oil
1 pinch of salt, sea salt
1 pinch of pepper, w / mill
2 pieces of mango, in strips
1 bell pepper, red, in strips
1 hp sugar peas, in strips
1 piece heart salad, in strips
50 g walnuts, roughly chopped
1 tbsp honey
1 piece of lime, the juice of
1 tablespoon olive oil
1 pinch of salt, sea salt",100,531.6462736,127.5305895,8.0756396,1.240266963,6.134593993,0,1.340378198,6.9243604,0.030700779,Kolonialen,Norway
47,"Salmon with green salad, raita and barley pig","
500 g of salmon fillet
2 hp radish
0.5 pcs spring onion
1 piece apple, green
0.5 cucumber
1 piece of crispis salad
0.5 pcs lemon
4 hp pearl barley
1 tablespoon butter
1 pinch of salt, sea salt
1 pinch of pepper, w / mill
3 cups yogurt, Greek
0.5 cucumber
0.5 pieces of red onion
0.5 tsp cumin",100,518.1603004,123.7349004,5.150179563,1.391609533,10.86353248,0.612144956,1.938459027,7.513059092,0.039054848,Kolonialen,Norway
48,"Lamb carrots with herb crust, root mash and mushrooms","
1.1 kg lamb
0.2 pcs white bread
1 piece mug, fresh
1 piece basil, fresh
4 tablespoons parmesan, finely grated
2 tablespoons butter
2 tablespoons mustard, dijon
1 pinch of salt, sea salt
1 pinch of pepper, w / mill
4 potatoes
0.5 pcs celery root
0.5 pcs cabbage root
150 g butter
1 pinch of salt, sea salt
1 pinch of pepper, w / mill
1 tablespoon mustard, coarse
4 tablespoons soy sauce
1 tablespoon butter
250 g aroma mushroom
2 tablespoons butter",100,565.5629139,135.6880059,8.863134658,5.261221486,3.307579102,0.246504783,1.008094187,10.20603385,0.23410596,Kolonialen,Norway
49,Elongated chops,"
650 g of pork chops
2 tablespoons olive oil
2 tablespoons butter, unsalted
0.2 hp rod celery
2 hp tomatoes, chopped
4 cloves of garlic
1.5 pcs yellow onion, in boats
3 carrots, normal size
2 tablespoons thyme, fresh, or oregano
1 DL water
0.5 teaspoon salt, sea salt
0.5 tsp pepper, m / mill",100,455.4464617,109.5776213,7.67413857,2.885327899,3.024268247,0,1.139310856,6.562615784,0.089107077,Kolonialen,Norway
50,Lens curry with rice,"
Parsley
1 piece yellow onion, coarsely chopped
2 spring onions, in rings
2 cloves of garlic, finely chopped
1 cauliflower, in small bouquets
2 tablespoons canola oil
1 tbsp sambal oelek
1 tablespoon curry
2 tsp tomato puree
1 piece vegetable broth
4 DL water
1 can of coconut milk
290 g lentil, red
260 g of basmati rice
2 handfuls of coriander, fresh, coarsely chopped
1 piece lime into wedges
1 handful of salted cashew nuts, coarsely chopped",100,609.7480106,144.8938992,4.064039409,1.908866995,19.05551345,0.42629784,2.737779462,6.678666161,1.593880258,Kolonialen,Norway
51,Luxury steak with simple bearnaise sauce,"600 g of angus outer fillet
1 tablespoon butter
1 pinch of salt, sea salt
1 teaspoon pepper, m / mill
1 egg yolk
1 dl butter
1 tablespoon tarragon, dried
0.5 pcs lemon
1 teaspoon salt, sea salt
1 teaspoon pepper, m / mill
2 sweet potato
1 tablespoon coconut oil
1 piece of lemon
1 pinch of malton salt
1 tablespoon pepper, m / mill",100,715.234102,171.6457023,10.95387841,6.629979036,5.214884696,0,1.41509434,12.325297,0.12325297,Kolonialen,Norway
52,Manchego Omelett,"
100 g of mushroom, in cubes
1 clove of garlic, finely chopped
1 g ginger, fresh, finely grated
3 eggs
2 tablespoons cream, (event water)
2 tablespoons chives, fresh, finely chopped
1 pinch of malton salt
1 pinch of pepper, w / mill
30 g of manchego, grated
1 tablespoon butter, unsalted
0.25 pcs bread, coarse, whole
0.5 hp cherry tomatoes, red",100,635.3707944,152.1930597,8.050026422,3.769596618,9.829135107,0,2.50132112,8.860313546,0.148317774,Kolonialen,Norway
53,Mild curry wok with pork,"
250 g of basmati rice
2 cloves of garlic, finely chopped
1 chili pepper, red, finely chopped
400 g shredded pork
2 tablespoons canola oil, for frying
1 tbsp curry paste, green
400 ml of coconut milk
1 tablespoon fish sauce
1 piece of lime, the juice of
2 spring onions, slanted
1 handful of cashew nuts, roughly chopped
1 handful of coriander, fresh, coarsely chopped
1 piece of lime, in boats",100,941.7050691,225.6528418,13.74039939,7.511520737,16.32872504,0,1.098310292,8.609831029,0.112058372,Kolonialen,Norway
54,Mild Tikka Masala,"
600 g of chicken fillet
1 tablespoon sunflower oil and roasting oil
1 piece of red onion
1 hp tikka masala sauce
1 bell pepper, red
250 g jasmine rice (boil-in-bag)
1 hp mango chutney
1 hp yogurt, Greek
2 hp nan bread
1 handful coriander",100,610.1470588,145.2573529,3.974264706,0.628676471,15.91544118,0.257352941,3.871323529,9.529411765,0.22930147,Kolonialen,Norway
55,Mild Tom Kha gai,"
1 clove of garlic
1 tablespoon ginger, fresh
400 g of chicken fillet
200 g rice noodles
8 cup chicken broth
3 cups coconut milk
100 g of mushroom
100 g of sugar peas
1 piece of lime, the juice
4 tablespoons soy sauce
2 tablespoons of fish sauce",100,655.7569435,156.4415178,7.334724214,5.473334203,10.52940409,2.73829704,0.674794628,11.77793715,10.23471118,Kolonialen,Norway
56,Moussaka with minced meat,"
2 eggplant
2 tablespoons olive oil
1 pc yellow onion
2 cloves of garlic
2 tablespoons olive oil
400 g of chop dough
400 g tomatoes, chopped
2 tablespoons tomato puree
0.5 tsp oregano, dried
1 tsp of all kinds of malt
1 teaspoon salt, sea salt
1 teaspoon pepper, m / mill
1 tablespoon butter
3 dl milk, light
2 tablespoons wheat flour, sifted
1 cup grated cheese
0.5 tsp nutmeg, ground
0.5 teaspoon salt, sea salt
0.5 tsp pepper, m / mill",100,353.1377106,84.49544838,4.493511524,1.757699012,3.68003099,0,1.297695138,6.706372264,0.319823746,Kolonialen,Norway
