No,Selected Meals,Ingredients,Weight,kJ,Calorie,Fat ,Saturated ,Carbohydrates,Sugar,Fiber,Protein,Sodium,Source,Country,,,
19,"
Fried noodles with chicken","""2 pieces of chicken fillet
0.5 dl of soybean oil
1 minced garlic
4 spring onions in rings
100 g of shrimp
1 dl bean sprouts
4 eggs
250 g rice noodles
2.5 dl chicken or broth (water + ½ broth cube)
2 tablespoons ketchup
1 tsp chili paste (sambal oelek)
2 tablespoons soy sauce
salt and pepper""",100,632.5095057,150.5703422,5.247148289,1.089987326,15.33586819,0.741444867,0.589353612,10.20278834,1.497972117,Aperitif,Norway,,,
20,Brazilian lamb stew with cabbage,"600 g of lamb
4 bacon slices
2.5 dl of red wine
0.5 dl water
1 piece of fresh cabbage
0.5 tsp paprika powder
salt and pepper""",100,560.2935642,134.6255175,9.198343997,3.500188182,2.340986075,0.030109146,1.162965751,8.513360933,0.084569063,Aperitif,Norway,,,
21,Stoccafisso ai caperi (Stockfish with capers),"
""800 g soaked dry fish
6 salty anchovy fillets
3 cloves of garlic
120 gr capers
parsley
60 g of olive oil
salt
pepper
dry white wine """,100,752.8830313,180.8896211,11.47446458,2.199341021,2.84184514,2.042833608,0.642504119,14.81878089,1.731630972,Aperitif,Norway,,,
22,"
Afghan lamb stew with spinach","""1 kg lamb stew with bone
2 tablespoons olive oil
3 onions
2 pieces of garlic
2 teaspoons turmeric
0.25 tb malt nutmeg
0.25 tbsp malt cardamom
1 teaspoon chili powder
0.5 tsp ground cinnamon
4 pieces of canned tomatoes in pieces, without liquid
2.5 dl lamb or broth
150 g fresh spinach
1 dl yogurt natural
1 tablespoon grated lemon peel
1 teaspoon salt
2 tablespoons of roasted pine kernels """,100,337.3435769,80.47618798,4.639524442,1.740806285,3.051005887,0.170667283,1.073891057,6.18603259,0.540280104,Aperitif,Norway,,,
23,"Charley Saltimbocca with roasting gravy, potato puree and fennel tomato salsa","750 g filet av Ishavsrøye, uten ben og skinn
1 ts salt
1 ts kvernet sort pepper
4 tynne, lange skiver parmaskinke (ca 60 gr) eller annen spekeskinke.
10 gr usaltet smør
8 store blader basilikum
2 ss olje til steking
1 ts sjalottløk, finhakket
½ ts hvitløk, finhakket
½ dl tørr hvitvin
½ dl god fiskekraft
1 ss sitron
10 gr usaltet smør
Fennikel-tomatsalsa:
200 gr fennikel, renset og vasket
200  gr tomat, stilkfestet fjernet
25 gr sorte, stenfrie oliven, gjerne Kalamata, finhakket
1 ss finhakket koriander
1 ss finhakket kjørvel
1 ss finhakket basilikum
1 ts kvernet sort pepper
½ ts salt
3 ss extra virgin olivenolje
1 ss sitronsaft
Potetpuré:
800 skrelt mandelpotet
4 ss usaltet smør
2½ dl fløte
1½ dl melk
2 ts salt
1 ts kvernet hvit pepper",100,6.322039818,151.2050297,10.76842473,3.870066364,5.497729654,0.073349633,0.943066713,7.314006287,0.740167656,Aperitif,Norway,,,
24,Beef with dark broth,"""800 g of book or beef back
2 onions
1 tbsp soy oil
2 bay leaves
8 whole black peppercorns
6 tablespoons flour
7.5 dl dark broth
salt
pepper
cooked potatoes for serving
Dark broth
1.5 kg of beef leg
1 carrot
1 garlic onion
1 piece of onion
50 g of celery root
2 bay leaves
1 tassel rosemary
1 tassel tarragon
3 pieces of parsley stalks
cold water""",100,327.138515,77.7247069,2.184107686,0.790273556,4.863221884,0.390794616,0.950933565,9.188015632,1.569735128,Aperitif,Norway,,,
25,Thai fried chicken with noodle salad,"""4 pieces of chicken fillets
Nudelsalat
250 g rice noodles
8 pieces of radish
1 piece of red chili
3 spring onions
fresh coriander
2 tablespoons canola oil
Salt, pepper
2 tsp green curry paste
1 dl soy sauce """,100,687.3741286,163.1293571,3.268783888,0.588690937,18.00154919,0,0.728117738,15.0580945,0.913245546,Aperitif,Norway,,,
26,Teriyaki marinated mackerel fillets,"8 stk makrellfileter
Marinade
1.5 dl soyasaus
1.5 dl tørr sherry
1 ts farin
1 stk presset hvitløkbåt
1 ts finhakket frisk ingefær",100,837.3273761,200.8529651,13.98253452,3.411860276,5.655970755,0.477254265,0.020308692,13.16003249,1.439683184,Aperitif,Norway,,,
27,Easy fishing pot,"""800 g of cod fillet
1 leek
1 tablespoon butter
0.25 pcs red bell pepper or 1 teaspoon bell pepper, preferably strong version, or 1 tbsp ajvar (Turkish bell pepper sauce)
1 tablespoon wheat flour
3 dl milk
200 g of shrimp or crayfish tails
Accessories
1 piece of ruccula or salad mix
3 dl jasmine rice
butter""",100,423.5923629,99.91487292,1.211236775,0.593457376,10.67250395,0,0.622643804,11.30974097,0.110762496,Aperitif,Norway,,,
28,Fresh mackerel,"Fersh makrell
Finsalt",100,772.7272727,186.5454545,15.92727273,3.381818182,0,0,0,10.83636364,13.7,Aperitif,Norway,,,
29,Chicken Marengo,"2 stk kyllinger
2 ss olje
6 stk sjalottløk eller 1 løk
persille
0.5 stk fl tørr hvitvin, evt. 4 dl hønsebuljong og saften av ½ sitron
1 stk boks hermetiske tomater
salt og pepper
6 stk kreps, evt. krepsehaler/reker
250 g sjampinjong",100,509.3875367,121.3693501,6.183471516,2.128911474,0.524204333,0,0.312917892,15.50147098,0.261380048,Aperitif,Norway,,,
30,Rock'n Roll Chicken,"4 stk kyllingfileter, urtemarinerte
1 pakke babysquash
7 stk sjampinjong
20 stk scampi, kokte
6 stk poteter, gjerne Partypoteter
2 ss olivenolje
1 stk hvitløkbåt, finhakket
Saus
2 stk rødløk
2 stk hvitløk, gjerne kinesisk
2 dl Meierienes Appelsinjuice
3 ss honning
5 ss chilisaus, hot, gjerne Sweet chilisaus",100,385.1013673,91.37199434,1.843470061,0.330033003,7.373880245,0.23573786,0.711928336,10.96652522,0.071758604,Aperitif,Norway,,,
31,Fried cod with orange sauce and mashed potatoes,"800 g of cod or scream
2.5 tablespoons salt
2 garlic cloves
2 tablespoons olive oil
2 thyme twigs
2 tablespoons butter
orange sauce
1 orange
100 g butter
Mashed potatoes
600 g of potatoes
2 tablespoons butter
1 dl food cream
salt and pepper
Salad
1 orange
1 pcs fennel
0.5 pcs red onion
1 tablespoon olive oil
salt and pepper
Rotchips
100 g of carrot
100 g beetroot
4 dl of sunflower oil
salt and pepper",100,907.853204,219.167142,18.84008367,4.19091082,5.073207834,0,1.045826203,6.845407872,0.902757178,Aperitif,Norway,,,
32,Exotic chops with raita and mango salad,"8 pork chops
2 tsp of tandoori spices
2 tbsp of oil
2 tablespoons oil for frying
Mynteraita
2 tablespoons minced fresh mint
1 piece finely chopped spring onion
2 cups of yogurt
0.5 tsp salt
0.5 tsp pepper
Mango Salad
1 large mango
1 bell pepper
2 spring onions
2 tablespoons fresh mint
juice of 1 lime
1 tsp oil
120 g of ruccula",100,521.192053,124.6078773,6.214708958,2.105263158,3.217148832,0.435691879,0.958522133,13.47856396,0.085988149,Aperitif,Norway,,,
33,Crab in cart (Santola no carro) (Portugal),"8 tablespoons unsalted butter
2 small onions, finely chopped
550 g of crab meat, cleaned of shell residue
2.5 dl fresh bread grater, preferably from cornbread
2 tablespoons leaf parsley, chopped
1 dl black olives in brine, sliced
0.5 dl mayonnaise
piri-piri sauce to taste (see separate recipe)
salt
freshly ground pepper
lemon wedges",100,696.5323993,167.0052539,9.744308231,4.840630473,8.301225919,1.814360771,1.856392294,10.5849387,0.4523993,Aperitif,Norway,,,
34,Marinated salmon on blueberry puree with lychee and cherry salsa,"200 g of salmon fillet with leather, without legs
marinade
2 dl olive oil
2 fresh thyme
2 pieces of fresh rosemary
0.5 tsp coriander seeds
salt and pepper
blueberries Pure
2 pieces of garlic
0.5 pcs red onion
1 piece coriander
1 basil
salt and pepper
200 g of blueberries
2 dl olive oil
0.5 dl balsamic vinegar
Brown sugar
Lychee and cherry salsa
100 g lychee
50 g cherry without stone, chopped
0.5 pcs redlk
2 tomatoes, skinned and without stones, chopped
1 piece of fist coriander
2 tablespoons port wine
2 dl olive oil
Salt, pepper
juice and peel of 1 paste",100,1048.855869,254.1456166,23.4115899,3.417533432,4.52897474,0.719167905,1.699851412,3.108469539,0.031679049,Aperitif,Norway,,,
35,Pasta with fresh and smoked salmon,"400 g small, leather and boneless fresh salmon pieces
The shell of 1 lemon
3 dl food cream
1.5 tbsp light corn stalks
4 portions of pasta
1 leek or 2 spring onions
salt and pepper
100 g smoked salmon in thin strips",100,795.8710546,190.3226224,10.16694512,3.529289868,13.98764425,0,1.100879408,10.19284817,0.182486951,Aperitif,Norway,,,
36,Seafood salad with salmon roe,"1 piece head oak leaf salad or other salad
0.5 kg of shrimp with shell
0.5 kg mussels or heart scales
2 cups white wine or water
1 finely chopped garlic boat
0.5 pcs onions in boats
4 tablespoons salmon roe
1 dl finely shredded pepper, preferably a mixture of red, yellow and green",100,291.4917127,69.22651934,0.784530387,0.154696133,2.552486188,1.602209945,0.243093923,7.425414365,0.567458564,Aperitif,Norway,,,
37,Catfish with orange sauce,"800 g catfish fillet
1 orange
300 g fresh broccoli in bouquets
1 dl of fishing power / broth
50 g coarsely chopped almonds
salt
freshly ground pepper
possibly fresh lemon balm
Suggestions for accessories
potatoes, rice, or bread and salad
Email shopping list",100,387.5700523,92.09117814,2.571206683,0.388304683,6.832063472,0.220389144,1.238377096,9.786327477,0.850282308,Aperitif,Norway,,,
38,Spring chicken with spring vegetables and thyme foam,"2 large spring chickens
3 tablespoons olive oil
12 spring carrots or crunchy carrots
12 pieces of asparagus
200 g horse beans (Belgian peas)
10 pieces of leaf parsley, torn into small pieces
Thyme Foam
1 dl light chicken power
2 dl milk
2 pieces of thyme twigs",100,704.9662162,168.4797297,8.695945946,2.952702703,6.260135135,0.141891892,2.712837838,14.875,0.579966216,Aperitif,Norway,,,
39,Omelet with sausages,"6 eggs
6 tablespoons milk
100 g of grated cheese, preferably Norvegia or Jarlsberg
salt and freshly ground pepper
1 tablespoon butter for frying
2 spring onions, finely sliced
2 sausage, preferably pastrami or spice salami",100,793.7286331,191.1113602,14.76769602,6.977526201,1.905509163,0,0.168133161,12.51190943,0.323236003,Aperitif,Norway,,,
40,Olive Risotto,"200 g Vialone Nano
2 dl vegetable power / broth
120 g olive paste (tapenade)
2 dl milk
extra virgin olive oil
onion
salt and pepper",100,1093.575757,261.9393939,16.20606061,2.993939394,23.06666667,1.018181818,0.436363636,5.793939393,3.902909091,Aperitif,Norway,,,
41,Shrimp with orange and basil,"350 g of purified shrimp
0.5 pcs red bell pepper in cubes
1 dl finely chopped chives
1 piece of orange in pieces
fresh salad eg a mix of iceberg, lollo rosso or frieze
dressing
juice of 1 lime
1 dl olive oil
0.5 pieces of red fresh chilli in thin rings
1 dl leaves of fresh basil
1 tsp grated fresh ginger root
1 tsp finely chopped garlic
salt and pepper",100,383.044322,92.25929636,7.222674346,1.017278077,2.104983098,0,1.025103293,4.233441843,0.350804432,Aperitif,Norway,,,
42,Pork on a Peasant (Hirino eksohiko) (Greece),"750 g pork from ham
2.5 dl white wine
6 ripe tomatoes
30 g butter
1 piece of onion
8 black olives
salt
paprika
possibly butter for browning",100,405.5356048,96.9497241,4.269948323,1.839362354,2.129499869,0.793772445,0.749978103,9.421257773,0.088957257,Aperitif,Norway,,,
43,Fully fried reindeer fillet,"600 g of reindeer fillet
salt and pepper
gravy
4 parts power or broth
0.5 tablespoons of Worcestershire sauce
1 tablespoon soy sauce
2 tablespoons red wine
salt and pepper
2 tablespoons corn noodle
possibly sugar colored",100,1060.25974,252.8831169,12.28051948,5.132467532,4.997402597,2.046753247,0.031168831,29.95324675,6.729350648,Aperitif,Norway,,,
44,Egg pan with squash,"6 eggs
6 tablespoons water
salt and pepper
0.5 pcs light green squash
0.5 pcs green squash
0.5 pcs yellow onion
1 teaspoon bell pepper powder
grated hard cheese, preferably parmesan",100,498.8767015,119.8625611,8.285978591,3.581340029,1.242236025,0,0.46253469,9.792520153,0.161887142,Aperitif,Norway,,,
45,Meat and pumpkin as in Sudan,"500 g of beef, lamb or goat
4 onions
300 g pumpkin
4 pieces of tomatoes
oil for frying
salt",100,892.2975352,216.1971831,20.47975352,5.699823944,2.249119718,0,0.88028169,5.264084507,0.044850352,Aperitif,Norway,,,
46,"Confit of turkey thighs, turkey sausage with truffle, spinach jelly, onion coulis and orange sauce","ingredients
4 turkey clubs
Duck or goose fat for confit
Salt and ground pepper
Turkey sausage with truffle
500 g turkey meat dough
2 tsp salt
40 g of egg white
4 dl cream
1 tablespoon minced fresh chervil
5 g black truffle (or 2 tablespoons truffle oil)
Salt and ground pepper
spinach Jelly
500 g spinach, cleaned completely
1 g agar
Salt and ground pepper
Løkcoulis
2 onions, red or yellow
1 tablespoon butter
1 tablespoon brown sugar
1 dl turkey power
1 dl cream
2 garlic boats
Salt and ground pepper
orange sauce
0.5 l orange juice
2 tablespoons sugar",100,557.7061794,133.5056504,8.138975715,4.237797547,4.339985573,1.088001924,0.649194518,10.44421736,0.846898293,Aperitif,Norway,,,
47,Lamb with rice hyderabadi (Hyderabadi Gosht Biryani) (India),"ingredients
600 g of lamb without bone, in cubes
6 tablespoons of sunflower oil
15 whole black peppercorns
6 whole cloves
6 cardamom fruits
5 pieces of nutmeg strips in pieces
5 star anise
4 cm cinnamon
2 bay leaves
300 g of basmati rice, washed and dried
marinade
1.5 dl natural yogurt
2 tsp ginger paste
2 tsp garlic paste
3 tsp tomato puree
3 onions, finely chopped
2 teaspoons turmeric
2 teaspoons chili powder
2 tsp malt garam masala
2 teaspoons raisins
2 tsp almond flake
salt
Decorations
3 tablespoons ghee
1 large onion in slices
2 teaspoons raisins
2 tsp almond flake
6 tablespoons coriander leaves, chopped
0.5 tsp saffron threads
2 tsp milk",100,708.2500669,168.7883222,6.69278742,2.119033008,16.67951724,0.157353936,2.019375515,9.483197222,0.175344736,Aperitif,Norway,,,
48,"Oven baked cod with small vegetables in shrimp sauce, mushroom lasagna and parmesan foam","ingredients
4 pieces of cod back per approx. 180 g
100 g raw shrimp with shell
1 tablespoon tomato paste
1 cup white wine
3 cloves of garlic
1 tassel parsley
1 tablespoon unsalted butter
salt and cayenne pepper
8 small shallots
100 g of shitake mushroom
2 dl cream
2 cups whole milk
1 tbsp kirsch
2 tablespoons grated parmesan
Pasta for lasagna
500 g wheat flour
10 egg yolks
1 egg
1 pinch of salt
3 drops of olive oil
Sopplassagne
lasagne sheets
100 g of purified and washed spinach
200 g sliced assorted mushrooms
1 tablespoon olive oil
1 tablespoon wheat flour
2 tablespoons unsalted butter
4 cups whole milk
4 tablespoons grated parmesan
1 tbsp finely chopped tarragon
1 tablespoon shallots",100,567.7892328,135.5620404,5.636555761,2.778583826,11.77134035,0.520128992,2.233817145,6.756201854,0.120724676,Aperitif,Norway,,,
49,Baked reindeer fillet with two sauces,"700 g reindeer fillet
1 tablespoon butter
2 tablespoons finely chopped fresh thyme
salt / pepper
cranberries sauce
6 dl good power preferably of game
200 g mire poix (carrot, onion, leek and celery root in small cubes)
4 dl red wine
200 g of cranberries
1 tablespoon butter
salt / pepper
possibly corn
currant sauce
6 dl good power preferably of game
200 g mire poix
4 dl port wine
200 g of black currant
1 tablespoon butter
salt / pepper
possibly corn
celery Puree
300 g of celery root
0.75 dl cream
salt / pepper
potato Sausage
300 g almond potatoes
2 pieces of puff pastry
2 egg yolks
1 tablespoon finely chopped parsley
2 tablespoons butter
2 tablespoons wheat flour",100,538.4053876,128.920599,6.244701893,3.291890365,6.572007158,1.761326175,1.285673919,7.535085241,4.987496468,Aperitif,Norway,,,
50,Fried chicken in spinach pesto,"1 large chicken
Plenty of fresh spinach leaves
2 cloves with garlic
8 shallots
Shredded bell pepper (red or yellow)
Green beans
Boiled potatoes",100,389.8000816,92.94165646,4.230926153,1.509587923,4.687882497,0,1.068951448,8.461852305,0.042676458,Aperitif,Norway,,,
51,Christmas Ribbe,"500 g ribs per person
salt and pepper
water
Sauce
power from the frying
sauerkraut
red cabbage
Otherwise accessories at will.",100,348.9190226,83.31201228,3.989701932,1.782973008,1.231290777,0.719585519,0.10394013,10.56191634,2.66958232,Aperitif,Norway,,,
52,Garlic marinated neck chops,"4 neck chops
1 piece garlic
1 dl olive oil
3 tsp lemon juice
1 tablespoon coarse mustard
2 tablespoons sweet chili sauce
2 teaspoons chili paste / chili paste",100,1109.803922,267.6470588,22.01426025,6.381461676,2.085561497,1.087344029,0.151515152,15.23172906,0.080124777,Aperitif,Norway,,,
53,Fish soup from Caldeira (Portugal),"1 kg different fillets of white fish, divided into 5 cm pieces
sea salt to sprinkle over
3 tablespoons olive oil, plus extra for frying bread
2 onions, chopped
2 green bell peppers, cleaned and chopped
4 tomatoes, without core, skinned and chopped
3 large garlic cloves, finely chopped
2.5 dl dry white wine, plus ½ dl if you steam the sand shells separately
freshly ground pepper
1 kg sand shell, well scrubbed
6 slices of country bread, without crust
6 tablespoons unsalted butter
leaf parsley, chopped",100,428.4855933,101.870818,3.446674859,1.52942783,4.413491738,0.396012563,1.149801994,11.43520415,0.132158951,Aperitif,Norway,,,
54,Fishing fillet with Pesto alla Genovese,"2 tablespoons Barillas Pesto alla Genovese
4 fish fillets of white fish, eg cod
400 g pasta, preferably Casarecce
salt and pepper",100,577.9314888,136.5612648,2.66798419,0.467720685,11.08036891,0.026350461,0.579710145,16.86429513,0.178919631,Aperitif,Norway,,,
55,Onions filled with ratatouille,"4 onions
0.5 dl of oil
1 piece squash into small cubes
2 stalks of celery in small cubes
1 piece green bell pepper in cubes
2 garlic cloves
1 dl ripped tomatoes
2 tablespoons finely chopped mug
2 tablespoons finely chopped oregano

",100,1053.260358,255.8262712,26.34769303,1.965630885,3.089689266,0,1.353578154,0.900423729,0.002824859,Aperitif,Norway,,,
56,Stuffed chicken fillet with curry and coconut sauce,"4 chicken fillets
4 pieces of brie
8 pieces of bacon
1 piece of fist fresh thyme
salt and ground pepper
Accessories
1 piece of crunchy carrots
1 piece of sugar peas
1 piece of red onion
0.5 tablespoons red curry paste
butter
5 cups of coconut milk
season with salt, grated pepper and lemon juice
1 cup fresh coriander",100,768.305801,185.5551287,15.43219362,11.50211295,1.432961967,0,1.048789858,9.669611986,0.287552824,Aperitif,Norway,,,
57,Annabel Langbeins lamb shank,"2 tablespoons flour
Salt and pepper, to taste
8 pieces of lamb shanks
3 tablespoons olive oil
4 pieces of whole garlic, split in two.
2 tablespoons tomato puree
1 tablespoon brown sugar
1 bottle of red wine
2.5 dl port wine
1 l cattle or lamb power",100,669.7014003,160.7177848,8.783895814,3.621331565,3.866270744,2.10270865,0.075365901,10.49847007,5.833999064,Aperitif,Norway,,,
58,"Mussels with lemongrass, ginger, coconut, lime and chili","2.4 kg of mussels
4 shallots, finely chopped
100 g carrot, small cubes
100 g celery rod, small cubes
2–3 lemongrass, thin slices
4 pieces of lime sheet, shredded
60 g ginger, finely chopped
1 piece Chinese garlic, finely chopped
2 pieces of red chili without seeds, in thin slices
1 tsp yellow curry paste
4 tsp curry mattress powder
4 tablespoons butter
4 cup white wine
1.2 l of coconut milk
2 spring onions, thin slices
fresh coriander
oil, salt and pepper
2 pieces of lime, juice",100,356.652222,85.12354785,3.00802139,1.502858197,3.187811175,1.336898396,0.90816891,6.331827402,0.403443666,Aperitif,Norway,,,
59,Carne no Tacho com Couve - Lamb casserole with cabbage,"1 kg lamb with bone or 800 g without bone
100 g of bacon
1.5 dl red wine
1 DL water
1 cabbage head
salt and pepper
allspice",100,369.7183099,88.16901408,3.647887324,1.455399061,1.291079812,0,0.647887324,11.13615023,0.291830986,Aperitif,Norway,,,
