Ingredients,sample_id,Source,Amounts_kg,FoodEx2,food_group,CO2,Landuse
sour cream 18 %,rich tomato soup pesto,bbc,0.142,A02NB,Milk and dairy products,1.5168786025599998,1.4815409312799999
sour cream 18 %,Russian salmon salad,alberheijn,0.24500000000000002,A02NB,Milk and dairy products,2.6171497016,2.5561797758000004
sour cream 18 %,taco salad,bbc,0.07496251874062969,A02NB,Milk and dairy products,0.800767892053973,0.7821129565217392
sour cream 18 %,Tortellini salad,kochbar,0.24500000000000002,A02NB,Milk and dairy products,2.6171497016,2.5561797758000004
walnut,"""Herr von Ribbeck"" Pear Salad",kochbar,0.013493253373313344,A014R,"Legumes, nuts, oilseeds and spices",0.02859690614842579,0.10423911720089955
walnut,chocolate caramel nut cake,allrecipes,0.11025000000000001,A014R,"Legumes, nuts, oilseeds and spices",0.23365817091225002,0.8517117668692501
walnut,chocolate syrup brownies,allrecipes,0.11025000000000001,A014R,"Legumes, nuts, oilseeds and spices",0.23365817091225002,0.8517117668692501
walnut,double chocolate cake ii,allrecipes,0.05512500000000001,A014R,"Legumes, nuts, oilseeds and spices",0.11682908545612501,0.42585588343462505
walnut,junked up kale salad,allrecipes,0.22050000000000003,A014R,"Legumes, nuts, oilseeds and spices",0.46731634182450005,1.7034235337385002
walnut,Muesli cookies,kochbar,0.06,A014R,"Legumes, nuts, oilseeds and spices",0.12716090934,0.46351660782
walnut,Roasted chicory with beet and pear,alberheijn,0.05,A014R,"Legumes, nuts, oilseeds and spices",0.10596742445000001,0.38626383985
walnut,Speculoos sandwich with pear and walnuts,alberheijn,0.03,A014R,"Legumes, nuts, oilseeds and spices",0.06358045467,0.23175830391
broth cube vegetable,10minute couscous salad,bbc,0.004,A043F,"Seasoning, sauces and condiments",NA,NA
broth cube vegetable,Beijing Soup,kochbar,0.014,A043F,"Seasoning, sauces and condiments",NA,NA
broth cube vegetable,cabbage soup,bbc,0.034,A043F,"Seasoning, sauces and condiments",NA,NA
broth cube vegetable,Carrot Soup,alberheijn,0.01,A043F,"Seasoning, sauces and condiments",NA,NA
broth cube vegetable,Green curry soup,alberheijn,0.01,A043F,"Seasoning, sauces and condiments",NA,NA
broth cube vegetable,lentil salad tahini dressing,bbc,2e-4,A043F,"Seasoning, sauces and condiments",NA,NA
broth cube vegetable,Potato soup with Bratwurst Sausage,kochbar,5.997001499250375e-4,A043F,"Seasoning, sauces and condiments",NA,NA
broth cube vegetable,Roasted tomato soup,alberheijn,0.015,A043F,"Seasoning, sauces and condiments",NA,NA
cheese feta,10minute couscous salad,bbc,0.05,A02RC,Milk and dairy products,0.7402983605000001,0.815543071
cheese feta,cilantro avocado tomato and feta salad,allrecipes,0.1134,A02RC,Milk and dairy products,1.678996681614,1.8496516850279998
cheese feta,epic summer salad,bbc,0.1,A02RC,Milk and dairy products,1.4805967210000002,1.631086142
cheese feta,greek salad v,allrecipes,0.147,A02RC,Milk and dairy products,2.17647717987,2.3976966287399994
cheese feta,taco salad,bbc,0.1,A02RC,Milk and dairy products,1.4805967210000002,1.631086142
couscous,10minute couscous salad,bbc,0.1,A008C,Grains and grain-based products,0.0118947726,0.043164713300000004
cucumber,10minute couscous salad,bbc,0.1675,A00JM,Vegetables and vegetable products,0.6468534806875,0.010519817065
cucumber,"Dutch club sandwich with bacon, chicken and fried egg",alberheijn,0.08375,A00JM,Vegetables and vegetable products,0.32342674034375,0.0052599085325
cucumber,epic summer salad,bbc,0.1675,A00JM,Vegetables and vegetable products,0.6468534806875,0.010519817065
cucumber,greek salad v,allrecipes,0.335,A00JM,Vegetables and vegetable products,1.293706961375,0.02103963413
cucumber,Noodles with sprouts and green onion,kochbar,0.1675,A00JM,Vegetables and vegetable products,0.6468534806875,0.010519817065
cucumber,onion bhajis raita,bbc,0.1675,A00JM,Vegetables and vegetable products,0.6468534806875,0.010519817065
cucumber,Russian salmon salad,alberheijn,0.335,A00JM,Vegetables and vegetable products,1.293706961375,0.02103963413
cucumber,Tortellini salad,kochbar,0.1675,A00JM,Vegetables and vegetable products,0.6468534806875,0.010519817065
cucumber,Vegan Tofu Kebab,alberheijn,0.1675,A00JM,Vegetables and vegetable products,0.6468534806875,0.010519817065
pesto,10minute couscous salad,bbc,0.31484257871064464,Composite ingredient not in SHARP,"Seasoning, sauces and condiments",1.5906948750921799,2.459496204893506
pesto,Delicious dubbeldecker sandwiches,kochbar,0.05997001499250375,Composite ingredient not in SHARP,"Seasoning, sauces and condiments",0.3029895000175581,0.4684754675987631
pesto,Pasta salad,alberheijn,0.0925,Composite ingredient not in SHARP,"Seasoning, sauces and condiments",0.46734236693333225,0.7225941290543672
pine nut,10minute couscous salad,bbc,0.1889055472263868,A014P,"Legumes, nuts, oilseeds and spices",1.3731000083568217,0.002541861661169415
pine nut,Courgette salad,alberheijn,0.03,A014P,"Legumes, nuts, oilseeds and spices",0.21806135847,4.0367184e-4
pine nut,Rice salad,alberheijn,0.02,A014P,"Legumes, nuts, oilseeds and spices",0.14537423898000001,2.6911456e-4
scallion,10minute couscous salad,bbc,0.04,A00HH,Vegetables and vegetable products,0.00826715332,0.01577013032
scallion,Beijing Soup,kochbar,0.06,A00HH,Vegetables and vegetable products,0.01240072998,0.02365519548
scallion,chicken noodle soup,bbc,0.04,A00HH,Vegetables and vegetable products,0.00826715332,0.01577013032
scallion,cilantro avocado tomato and feta salad,allrecipes,0.45,A00HH,Vegetables and vegetable products,0.09300547485,0.17741396610000001
scallion,coronation egg mayo sandwiches,bbc,0.04,A00HH,Vegetables and vegetable products,0.00826715332,0.01577013032
scallion,georgia cracker salad,allrecipes,0.06,A00HH,Vegetables and vegetable products,0.01240072998,0.02365519548
scallion,korean tofu and vegetable soup,allrecipes,0.04,A00HH,Vegetables and vegetable products,0.00826715332,0.01577013032
scallion,mapo tofu,bbc,0.12,A00HH,Vegetables and vegetable products,0.02480145996,0.04731039096
scallion,Noodles with sprouts and green onion,kochbar,0.15,A00HH,Vegetables and vegetable products,0.03100182495,0.0591379887
scallion,Pancake pie with spinach,alberheijn,0.06,A00HH,Vegetables and vegetable products,0.01240072998,0.02365519548
scallion,Rice with tofu and sunflower seeds,kochbar,0.08,A00HH,Vegetables and vegetable products,0.01653430664,0.03154026064
scallion,Tortellini salad,kochbar,0.15,A00HH,Vegetables and vegetable products,0.03100182495,0.0591379887
scallion,Vegetarian minced tofu,alberheijn,0.06,A00HH,Vegetables and vegetable products,0.01240072998,0.02365519548
scallion,Veggie Vitamin Cick,kochbar,0.15,A00HH,Vegetables and vegetable products,0.03100182495,0.0591379887
water,10minute couscous salad,bbc,0.2,A03DL,Water and water-based beverages,NA,NA
water,aarsis tofu curry,allrecipes,0.49000000000000005,A03DL,Water and water-based beverages,NA,NA
water,angel biscuits ii,allrecipes,0.061250000000000006,A03DL,Water and water-based beverages,NA,NA
water,anzac biscuits with almonds,allrecipes,0.029985007496251874,A03DL,Water and water-based beverages,NA,NA
water,Baden onion soup,kochbar,1.5,A03DL,Water and water-based beverages,NA,NA
water,bangers n mash with onion gravy,bbc,0.4,A03DL,Water and water-based beverages,NA,NA
water,beef curry,bbc,0.3,A03DL,Water and water-based beverages,NA,NA
water,beef goulash,bbc,0.3,A03DL,Water and water-based beverages,NA,NA
water,beef stroganoff,bbc,0.1,A03DL,Water and water-based beverages,NA,NA
water,beef tips and merlot gravy with beef and onion rice,allrecipes,1.204875,A03DL,Water and water-based beverages,NA,NA
water,Beijing Soup,kochbar,0.7,A03DL,Water and water-based beverages,NA,NA
water,broccoli beef i,allrecipes,0.297675,A03DL,Water and water-based beverages,NA,NA
water,cabbage soup,bbc,1.7,A03DL,Water and water-based beverages,NA,NA
water,Calf liver with onion venetian style,kochbar,0.3,A03DL,Water and water-based beverages,NA,NA
water,Carrot Soup,alberheijn,0.7799850074962519,A03DL,Water and water-based beverages,NA,NA
water,chicken noodle soup,bbc,0.9,A03DL,Water and water-based beverages,NA,NA
water,chicken wings in tomato soup,allrecipes,1.47,A03DL,Water and water-based beverages,NA,NA
water,Chocolate puffs,alberheijn,0.15,A03DL,Water and water-based beverages,NA,NA
water,chocolate trifle,allrecipes,0.12250000000000001,A03DL,Water and water-based beverages,NA,NA
water,cream of tomato gorgonzola soup,allrecipes,0.12250000000000001,A03DL,Water and water-based beverages,NA,NA
water,Dry cake,kochbar,0.1,A03DL,Water and water-based beverages,NA,NA
water,french onion soup,bbc,1.3,A03DL,Water and water-based beverages,NA,NA
water,friday night veggie soup,allrecipes,2.3887500000000004,A03DL,Water and water-based beverages,NA,NA
water,Green curry soup,alberheijn,0.8,A03DL,Water and water-based beverages,NA,NA
water,hearty sausage soup,allrecipes,0.24500000000000002,A03DL,Water and water-based beverages,NA,NA
water,kellys pressure cooker beef stew,allrecipes,0.49000000000000005,A03DL,Water and water-based beverages,NA,NA
water,kens texas chili,allrecipes,0.39690000000000003,A03DL,Water and water-based beverages,NA,NA
water,korean tofu and vegetable soup,allrecipes,0.735,A03DL,Water and water-based beverages,NA,NA
water,lamb barley soup,allrecipes,0.7876750000000001,A03DL,Water and water-based beverages,NA,NA
water,Lemon curd and blackberry crepes,alberheijn,0.18999250374812593,A03DL,Water and water-based beverages,NA,NA
water,lentil salad tahini dressing,bbc,0.01,A03DL,Water and water-based beverages,NA,NA
water,Limburgs Zuurvlees,alberheijn,0.2,A03DL,Water and water-based beverages,NA,NA
water,ma lipos apricot glazed turkey with roasted onion and shallot gravy,allrecipes,0.9800000000000001,A03DL,Water and water-based beverages,NA,NA
water,mapo tofu,bbc,0.2,A03DL,Water and water-based beverages,NA,NA
water,mashed potato rutabaga and parsnip casserole with caramelized onions,allrecipes,1.7150000000000003,A03DL,Water and water-based beverages,NA,NA
water,Minced meat hash with puree,alberheijn,0.5,A03DL,Water and water-based beverages,NA,NA
water,mushroom soup,bbc,1,A03DL,Water and water-based beverages,NA,NA
water,One pot bean soup,kochbar,0.4,A03DL,Water and water-based beverages,NA,NA
water,Oxtail soup,alberheijn,1.5,A03DL,Water and water-based beverages,NA,NA
water,Potato soup,kochbar,1,A03DL,Water and water-based beverages,NA,NA
water,Potato soup with Bratwurst Sausage,kochbar,0.029985007496251874,A03DL,Water and water-based beverages,NA,NA
water,Pulled beef and salsa,alberheijn,0.3,A03DL,Water and water-based beverages,NA,NA
water,Rhubarb pie,kochbar,0.04497751124437781,A03DL,Water and water-based beverages,NA,NA
water,Rice flan,alberheijn,0.1,A03DL,Water and water-based beverages,NA,NA
water,rich tomato soup pesto,bbc,0.5,A03DL,Water and water-based beverages,NA,NA
water,Roastbeef In Rusks With Herbs,kochbar,0.125,A03DL,Water and water-based beverages,NA,NA
water,Roasted tomato soup,alberheijn,0.75,A03DL,Water and water-based beverages,NA,NA
water,Sausages with onion gravy,alberheijn,0.35,A03DL,Water and water-based beverages,NA,NA
water,soup maker broccoli and stilton soup,bbc,0.75,A03DL,Water and water-based beverages,NA,NA
water,Soup with beef,alberheijn,0.5,A03DL,Water and water-based beverages,NA,NA
water,Vegetable soup with chicken and rice,alberheijn,0.5,A03DL,Water and water-based beverages,NA,NA
water,Zebra cake,kochbar,0.125,A03DL,Water and water-based beverages,NA,NA
butter,2 ingredient wheat free banana pancakes paleo,allrecipes,0.0050025,A039C,Animal and vegetable fats and oils and primary derivatives thereof,0.16814269133100002,0.16701765649470002
butter,absolutely sinful chocolate chocolate chip cookies,allrecipes,0.12256125,A039C,Animal and vegetable fats and oils and primary derivatives thereof,4.1194959376095,4.09193258412015
butter,Almond cookies,kochbar,0.25,A039C,Animal and vegetable fats and oils and primary derivatives thereof,8.4029331,8.34670947
butter,american pancakes,bbc,0.025,A039C,Animal and vegetable fats and oils and primary derivatives thereof,0.8402933100000001,0.8346709470000001
butter,anzac biscuits with almonds,allrecipes,0.2451225,A039C,Animal and vegetable fats and oils and primary derivatives thereof,8.238991875219,8.1838651682403
butter,apple puff pancake,allrecipes,0.03,A039C,Animal and vegetable fats and oils and primary derivatives thereof,1.008351972,1.0016051364
butter,Baden onion soup,kochbar,0.08,A039C,Animal and vegetable fats and oils and primary derivatives thereof,2.688938592,2.6709470304000003
butter,baked fudge cake,allrecipes,0.2451225,A039C,Animal and vegetable fats and oils and primary derivatives thereof,8.238991875219,8.1838651682403
butter,bangers n mash with onion gravy,bbc,0.065,A039C,Animal and vegetable fats and oils and primary derivatives thereof,2.184762606,2.1701444622
butter,beef bourguignon,bbc,0.015,A039C,Animal and vegetable fats and oils and primary derivatives thereof,0.504175986,0.5008025682
butter,beef curry,bbc,0.015,A039C,Animal and vegetable fats and oils and primary derivatives thereof,0.504175986,0.5008025682
butter,Beef Filet Mignon With Green Asparagus,kochbar,0.02,A039C,Animal and vegetable fats and oils and primary derivatives thereof,0.672234648,0.6677367576000001
butter,beef stroganoff,bbc,0.015,A039C,Animal and vegetable fats and oils and primary derivatives thereof,0.504175986,0.5008025682
butter,beef tips and merlot gravy with beef and onion rice,allrecipes,0.061280625,A039C,Animal and vegetable fats and oils and primary derivatives thereof,2.05974796880475,2.045966292060075
butter,Cake with Milka Chocolate Hearts,kochbar,0.15,A039C,Animal and vegetable fats and oils and primary derivatives thereof,5.04175986,5.008025682
butter,carrot cake,bbc,0.1,A039C,Animal and vegetable fats and oils and primary derivatives thereof,3.3611732400000003,3.3386837880000004
butter,cheese onion pie,bbc,0.165,A039C,Animal and vegetable fats and oils and primary derivatives thereof,5.545935846000001,5.5088282502000006
butter,chewy chocolate chip cookies,bbc,0.195,A039C,Animal and vegetable fats and oils and primary derivatives thereof,6.554287818000001,6.510433386600001
butter,Chocolate cake with kruidnoten,alberheijn,0.07475,A039C,Animal and vegetable fats and oils and primary derivatives thereof,2.5124769969,2.49566613153
butter,chocolate caramel nut cake,allrecipes,0.18384187500000002,A039C,Animal and vegetable fats and oils and primary derivatives thereof,6.179243906414251,6.137898876180226
butter,"Chocolate cherry cake, quick and easy",kochbar,0.2,A039C,Animal and vegetable fats and oils and primary derivatives thereof,6.722346480000001,6.677367576000001
butter,Chocolate coconut cake,kochbar,0.25,A039C,Animal and vegetable fats and oils and primary derivatives thereof,8.4029331,8.34670947
butter,Chocolate souffle,kochbar,0.1,A039C,Animal and vegetable fats and oils and primary derivatives thereof,3.3611732400000003,3.3386837880000004
butter,chocolate syrup brownies,allrecipes,0.18384187500000002,A039C,Animal and vegetable fats and oils and primary derivatives thereof,6.179243906414251,6.137898876180226
butter,classic victoria sandwich recipe,bbc,0.30000000000000004,A039C,Animal and vegetable fats and oils and primary derivatives thereof,10.083519720000002,10.016051364000003
butter,creamed beef,allrecipes,0.061280625,A039C,Animal and vegetable fats and oils and primary derivatives thereof,2.05974796880475,2.045966292060075
butter,Dry cake,kochbar,0.25,A039C,Animal and vegetable fats and oils and primary derivatives thereof,8.4029331,8.34670947
butter,easy chocolate cake,bbc,0.2,A039C,Animal and vegetable fats and oils and primary derivatives thereof,6.722346480000001,6.677367576000001
butter,french onion soup,bbc,0.05,A039C,Animal and vegetable fats and oils and primary derivatives thereof,1.6805866200000001,1.6693418940000002
butter,ginger biscuits,bbc,0.1,A039C,Animal and vegetable fats and oils and primary derivatives thereof,3.3611732400000003,3.3386837880000004
butter,mashed potato rutabaga and parsnip casserole with caramelized onions,allrecipes,0.18384187500000002,A039C,Animal and vegetable fats and oils and primary derivatives thereof,6.179243906414251,6.137898876180226
butter,Muesli cookies,kochbar,0.12,A039C,Animal and vegetable fats and oils and primary derivatives thereof,4.033407888,4.0064205456
butter,mushroom soup,bbc,0.09,A039C,Animal and vegetable fats and oils and primary derivatives thereof,3.025055916,3.0048154092
butter,Noodles with sprouts and green onion,kochbar,0.06,A039C,Animal and vegetable fats and oils and primary derivatives thereof,2.016703944,2.0032102728
butter,oat biscuits 0,bbc,0.075,A039C,Animal and vegetable fats and oils and primary derivatives thereof,2.52087993,2.504012841
butter,Oatmeal cookies,kochbar,0.25,A039C,Animal and vegetable fats and oils and primary derivatives thereof,8.4029331,8.34670947
butter,pancakes one,bbc,0.0050025,A039C,Animal and vegetable fats and oils and primary derivatives thereof,0.16814269133100002,0.16701765649470002
butter,Potato casserole with onion crust,kochbar,0.015,A039C,Animal and vegetable fats and oils and primary derivatives thereof,0.504175986,0.5008025682
butter,Potato soup,kochbar,0.1,A039C,Animal and vegetable fats and oils and primary derivatives thereof,3.3611732400000003,3.3386837880000004
butter,Quiche with Onions and Roasted Bell Peppers,kochbar,0.05,A039C,Animal and vegetable fats and oils and primary derivatives thereof,1.6805866200000001,1.6693418940000002
butter,Rhubarb crumble cake,kochbar,0.1,A039C,Animal and vegetable fats and oils and primary derivatives thereof,3.3611732400000003,3.3386837880000004
butter,Rhubarb pie,kochbar,0.07,A039C,Animal and vegetable fats and oils and primary derivatives thereof,2.3528212680000005,2.3370786516
butter,rich tomato soup pesto,bbc,0.015,A039C,Animal and vegetable fats and oils and primary derivatives thereof,0.504175986,0.5008025682
butter,Ricotta pancakes with caramelized bananas,kochbar,0.07500000000000001,A039C,Animal and vegetable fats and oils and primary derivatives thereof,2.5208799300000004,2.5040128410000007
butter,Russian salmon salad,alberheijn,0.025,A039C,Animal and vegetable fats and oils and primary derivatives thereof,0.8402933100000001,0.8346709470000001
butter,school days sprinkle sponge,bbc,0.2,A039C,Animal and vegetable fats and oils and primary derivatives thereof,6.722346480000001,6.677367576000001
butter,shortbread biscuits,bbc,0.1,A039C,Animal and vegetable fats and oils and primary derivatives thereof,3.3611732400000003,3.3386837880000004
butter,Sleigh cake,alberheijn,0.25,A039C,Animal and vegetable fats and oils and primary derivatives thereof,8.4029331,8.34670947
butter,Tuna sandwich,kochbar,0.015,A039C,Animal and vegetable fats and oils and primary derivatives thereof,0.504175986,0.5008025682
butter,White chocolate cake,kochbar,0.1,A039C,Animal and vegetable fats and oils and primary derivatives thereof,3.3611732400000003,3.3386837880000004
butter,Wild Garlic and Asparagus Soup,kochbar,0.0225,A039C,Animal and vegetable fats and oils and primary derivatives thereof,0.756263979,0.7512038523
egg,2 ingredient wheat free banana pancakes paleo,allrecipes,0.063,A031G,Eggs and egg products,0.11993672306700001,0.351293478291
egg,absolutely sinful chocolate chocolate chip cookies,allrecipes,0.126,A031G,Eggs and egg products,0.23987344613400002,0.702586956582
egg,amazing chocolate cupcakes,bbc,0.063,A031G,Eggs and egg products,0.11993672306700001,0.351293478291
egg,american pancakes,bbc,0.189,A031G,Eggs and egg products,0.359810169201,1.053880434873
egg,Apple cookies,kochbar,0.126,A031G,Eggs and egg products,0.23987344613400002,0.702586956582
egg,Apple pancake,kochbar,0.126,A031G,Eggs and egg products,0.23987344613400002,0.702586956582
egg,apple puff pancake,allrecipes,0.378,A031G,Eggs and egg products,0.719620338402,2.107760869746
egg,Apple semolina cake,alberheijn,0.126,A031G,Eggs and egg products,0.23987344613400002,0.702586956582
egg,apple yogurt pancakes,allrecipes,0.126,A031G,Eggs and egg products,0.23987344613400002,0.702586956582
egg,Asparagus pancake,kochbar,0.126,A031G,Eggs and egg products,0.23987344613400002,0.702586956582
egg,asparagus potato and onion frittata,allrecipes,0.378,A031G,Eggs and egg products,0.719620338402,2.107760869746
egg,Bacon pancakes with onion,alberheijn,0.126,A031G,Eggs and egg products,0.23987344613400002,0.702586956582
egg,baked fudge cake,allrecipes,0.252,A031G,Eggs and egg products,0.47974689226800005,1.405173913164
egg,baked pancakes with sausages,allrecipes,0.189,A031G,Eggs and egg products,0.359810169201,1.053880434873
egg,Beijing Soup,kochbar,0.063,A031G,Eggs and egg products,0.11993672306700001,0.351293478291
egg,Blueberry pancakes,kochbar,0.189,A031G,Eggs and egg products,0.359810169201,1.053880434873
egg,Breton butter biscuits,alberheijn,0.189,A031G,Eggs and egg products,0.359810169201,1.053880434873
egg,Brownies with white chocolate,alberheijn,0.189,A031G,Eggs and egg products,0.359810169201,1.053880434873
egg,Cake with Milka Chocolate Hearts,kochbar,0.378,A031G,Eggs and egg products,0.719620338402,2.107760869746
egg,carrot cake,bbc,0.252,A031G,Eggs and egg products,0.47974689226800005,1.405173913164
egg,cheese onion pie,bbc,0.063,A031G,Eggs and egg products,0.11993672306700001,0.351293478291
egg,chewy chocolate chip cookies,bbc,0.063,A031G,Eggs and egg products,0.11993672306700001,0.351293478291
egg,Chocolate cake with kruidnoten,alberheijn,0.29295000000000004,A031G,Eggs and egg products,0.5577057622615501,1.6335146740531503
egg,"Chocolate cherry cake, quick and easy",kochbar,0.252,A031G,Eggs and egg products,0.47974689226800005,1.405173913164
egg,Chocolate coconut cake,kochbar,0.063,A031G,Eggs and egg products,0.11993672306700001,0.351293478291
egg,chocolate fudge crinkle biscuits,bbc,0.252,A031G,Eggs and egg products,0.47974689226800005,1.405173913164
egg,chocolate muffins,bbc,0.063,A031G,Eggs and egg products,0.11993672306700001,0.351293478291
egg,Chocolate puffs,alberheijn,0.189,A031G,Eggs and egg products,0.359810169201,1.053880434873
egg,chocolate raspberry birthday layer cake,bbc,0.189,A031G,Eggs and egg products,0.359810169201,1.053880434873
egg,Chocolate souffle,kochbar,0.126,A031G,Eggs and egg products,0.23987344613400002,0.702586956582
egg,chocolate syrup brownies,allrecipes,0.252,A031G,Eggs and egg products,0.47974689226800005,1.405173913164
egg,classic victoria sandwich recipe,bbc,0.252,A031G,Eggs and egg products,0.47974689226800005,1.405173913164
egg,coconut cookies,bbc,0.063,A031G,Eggs and egg products,0.11993672306700001,0.351293478291
egg,coronation egg mayo sandwiches,bbc,0.189,A031G,Eggs and egg products,0.359810169201,1.053880434873
egg,Creamy Filled Meatballs,kochbar,0.063,A031G,Eggs and egg products,0.11993672306700001,0.351293478291
egg,double chocolate cake ii,allrecipes,0.063,A031G,Eggs and egg products,0.11993672306700001,0.351293478291
egg,Dry cake,kochbar,0.189,A031G,Eggs and egg products,0.359810169201,1.053880434873
egg,"Dutch club sandwich with bacon, chicken and fried egg",alberheijn,0.252,A031G,Eggs and egg products,0.47974689226800005,1.405173913164
egg,easy chocolate cake,bbc,0.252,A031G,Eggs and egg products,0.47974689226800005,1.405173913164
egg,Egg balls,alberheijn,0.33579000000000003,A031G,Eggs and egg products,0.6392627339471101,1.8723942392910302
egg,egg cress club sandwich,bbc,0.126,A031G,Eggs and egg products,0.23987344613400002,0.702586956582
egg,Egg sandwich,kochbar,0.189,A031G,Eggs and egg products,0.359810169201,1.053880434873
egg,Marmer cake,alberheijn,0.252,A031G,Eggs and egg products,0.47974689226800005,1.405173913164
egg,Muesli cookies,kochbar,0.126,A031G,Eggs and egg products,0.23987344613400002,0.702586956582
egg,Mug cake,alberheijn,0.063,A031G,Eggs and egg products,0.11993672306700001,0.351293478291
egg,Nicoise salad,alberheijn,0.252,A031G,Eggs and egg products,0.47974689226800005,1.405173913164
egg,pancakes one,bbc,0.063,A031G,Eggs and egg products,0.11993672306700001,0.351293478291
egg,Pancakes with apple and bacon,kochbar,0.126,A031G,Eggs and egg products,0.23987344613400002,0.702586956582
egg,Peanut butter cake,kochbar,0.063,A031G,Eggs and egg products,0.11993672306700001,0.351293478291
egg,Pear cake,alberheijn,0.189,A031G,Eggs and egg products,0.359810169201,1.053880434873
egg,perfect pancakes recipe,bbc,0.126,A031G,Eggs and egg products,0.23987344613400002,0.702586956582
egg,Potato casserole with onion crust,kochbar,0.126,A031G,Eggs and egg products,0.23987344613400002,0.702586956582
egg,Quiche with Onions and Roasted Bell Peppers,kochbar,0.252,A031G,Eggs and egg products,0.47974689226800005,1.405173913164
egg,Rhubarb pie,kochbar,0.126,A031G,Eggs and egg products,0.23987344613400002,0.702586956582
egg,Rice flan,alberheijn,0.126,A031G,Eggs and egg products,0.23987344613400002,0.702586956582
egg,Roastbeef In Rusks With Herbs,kochbar,0.126,A031G,Eggs and egg products,0.23987344613400002,0.702586956582
egg,Russian salmon salad,alberheijn,0.504,A031G,Eggs and egg products,0.9594937845360001,2.810347826328
egg,school days sprinkle sponge,bbc,0.252,A031G,Eggs and egg products,0.47974689226800005,1.405173913164
egg,spinach ricotta pancake bake,bbc,0.0945,A031G,Eggs and egg products,0.1799050846005,0.5269402174365
egg,Strawberry and kiwi cake,alberheijn,0.252,A031G,Eggs and egg products,0.47974689226800005,1.405173913164
egg,White chocolate and cherry cake,alberheijn,0.126,A031G,Eggs and egg products,0.23987344613400002,0.702586956582
agave nectar,a vegan pancakes,allrecipes,0.04197901049475263,A03BG,Fruit and vegetable juices and nectars (including concentrates),0.04814998422788607,0.03371808070164918
blueberries,a vegan pancakes,allrecipes,0.2695,A01EY,Fruit and fruit products,0.193126801945,0.08627286579450001
blueberries,Blueberry pancakes,kochbar,0.3,A01EY,Fruit and fruit products,0.214983453,0.0960365853
blueberries,Vegan pancakes,alberheijn,0.15,A01EY,Fruit and fruit products,0.1074917265,0.04801829265
oatmeal,a vegan pancakes,allrecipes,0.2695,A00DN,Grains and grain-based products,0.170168413877,0.37438667858900004
oatmeal,Mug cake,alberheijn,0.04122938530734633,A00DN,Grains and grain-based products,0.026033169212893552,0.05727544573463269
oatmeal,Vegan pancakes,alberheijn,0.15,A00DN,Grains and grain-based products,0.0947134029,0.2083784853
salt,a vegan pancakes,allrecipes,0.00275,A042P,"Seasoning, sauces and condiments",NA,NA
salt,absolutely sinful chocolate chocolate chip cookies,allrecipes,0.001375,A042P,"Seasoning, sauces and condiments",NA,NA
