Ingredients;Foodgroup;unit_enhet;g;reference;ID;language
Melkepulver;Melk og meieriprodukter;tsp;3;a;390;norwegian
Instant coffee creamer;Milk and dairy products;tsp;3;a;390;english
Milkshake;Melk og meieriprodukter;dl;100;e;398;norwegian
Milkshake;Milk and dairy products;dl;100;e;398;english
Milkshake;Melk og meieriprodukter;tbsp;11;e;398;norwegian
Milkshake;Milk and dairy products;tbsp;11;e;398;english
Milkshake;Melk og meieriprodukter;tsp;5;e;398;norwegian
Milkshake;Milk and dairy products;tsp;5;e;398;english
Rømme, crème fraîche, kesam;Melk og meieriprodukter;dl;100;a;535;norwegian
Sour cream, crème fraîche, quark;Milk and dairy products;dl;100;a;535;english
Rømme, crème fraîche, kesam;Melk og meieriprodukter;tbsp;18;f;535;norwegian
Sour cream, crème fraîche, quark;Milk and dairy products;tbsp;18;f;535;english
Rømme, crème fraîche, kesam;Melk og meieriprodukter;tsp;7;f;535;norwegian
Sour cream, crème fraîche, quark;Milk and dairy products;tsp;7;f;535;english
Syrnet melk, kulturmelk, kefir;Melk og meieriprodukter;dl;100;e;626;norwegian
Cultured milk, kefir milk;Milk and dairy products;dl;100;e;626;english
Syrnet melk, kulturmelk, kefir;Melk og meieriprodukter;tbsp;11;e;626;norwegian
Cultured milk, kefir milk;Milk and dairy products;tbsp;11;e;626;english
Syrnet melk, kulturmelk, kefir;Melk og meieriprodukter;tsp;5;e;626;norwegian
Cultured milk, kefir milk;Milk and dairy products;tsp;5;e;626;english
Yoghurt;Melk og meieriprodukter;dl;100;e;675;norwegian
Yoghurt;Milk and dairy products;dl;100;e;675;english
Yoghurt;Melk og meieriprodukter;tbsp;18;a;675;norwegian
Yoghurt;Milk and dairy products;tbsp;18;a;675;english
Yoghurt;Melk og meieriprodukter;tsp;7;a;675;norwegian
Yoghurt;Milk and dairy products;tsp;7;a;675;english
Blåmuggost;Ost;porsjon;30;ģ;41;norwegian
Blue cheese;Cheese;portion;30;ģ;41;english
Brunost;Ost;skive (skåret med ostehøvel);8;a;53;norwegian
Brown cheese;Cheese;slice (sliced with a cheese slicer);8;a;53;english
Brunost;Ost;til en brødskive;16;ģ;53;norwegian
Brown cheese;Cheese;for a slice of bread;16;ģ;53;english
Brunost;Ost;ferdigskivet;12;i;53;norwegian
Brown cheese;Cheese;pre-sliced cheese;12;i;53;english
Cottage cheese;Ost;desiliter;100;a;85;norwegian
Cottage cheese;Cheese;decilitre;100;a;85;english
Cottage cheese;Ost;spiseskje;16;a;85;norwegian
Cottage cheese;Cheese;tablespoon;16;a;85;english
Fetaost;Ost;desiliter (terninger);60;a;134;norwegian
Feta cheese;Cheese;decilitre (in cubes);60;a;134;english
Gammelost;Ost;til en brødskive;15;ģ;165;norwegian
Traditional Norwegian cheese, matured, Gammelost;Cheese;for a slice of bread;15;ģ;165;english
Gomme;Ost;desiliter;115;a;179;norwegian
Traditional Norwegian cheese, Gomme;Cheese;decilitre;115;a;179;english
Gomme;Ost;spiseskje;20;a;179;norwegian
Traditional Norwegian cheese, Gomme;Cheese;tablespoon;20;a;179;english
Hvitmuggost (brie, camembert o.l.);Ost;skive (skåret med kniv);13;a;231;norwegian
Soft-ripened cheese (brie, camembert etc);Cheese;slice (sliced with a knife);13;a;231;english
Hvitost, gulost;Ost;skive (skåret med ostehøvel);10;a;232;norwegian
White or yellow hard to semi-hard cheese;Cheese;slice (sliced with a cheese slicer);10;a;232;english
Hvitost, gulost;Ost;til en brødskive;20;ģ;232;norwegian
White or yellow hard to semi-hard cheese;Cheese;for a slice of bread;20;ģ;232;english
Hvitost, gulost;Ost;ferdigskivet;13;i;232;norwegian
White or yellow hard to semi-hard cheese;Cheese;pre-sliced cheese;13;i;232;english
Hvitost, gulost;Ost;desiliter;40;a;232;norwegian
White or yellow hard to semi-hard cheese;Cheese;decilitre;40;a;232;english
Kremost;Ost;til en brødskive;15;ģ;314;norwegian
Cream cheese;Cheese;for a slice of bread;15;ģ;314;english
Mozzarella;Ost;desiliter;40;f;406;norwegian
Mozzarella;Cheese;decilitre;40;f;406;english
Mozzarella;Ost;stk;125;o;406;norwegian
Mozzarella;Cheese;one;125;o;406;english
Parmesan;Ost;desiliter;40;a;438;norwegian
Parmesan;Cheese;decilitre;40;a;438;english
Parmesan;Ost;spiseskje;6;a;438;norwegian
Parmesan;Cheese;tablespoon;6;a;438;english
Prim;Ost;til en brødskive;15;ģ;477;norwegian
Sweet spread made of whey, Prim;Cheese;for a slice of bread;15;ģ;477;english
Pultost;Ost;til en brødskive;10;ģ;483;norwegian
Traditional Norwegian cheese, Pultost;Cheese;for a slice of bread;10;ģ;483;english
Smelteost;Ost;til en brødskive;10;ģ;575;norwegian
Cheese spread;Cheese;for a slice of bread;10;ģ;575;english
Egg, kokt;Egg;brutto;64;d;105;norwegian
Egg, boiled;Eggs;brutto;64;d;105;english
Egg, kokt;Egg;netto;56;b;105;norwegian
Egg, boiled;Eggs;netto;56;b;105;english
Egg, rå;Egg;desiliter;100;ag;10000;norwegian
Egg, raw;Eggs;decilitre;100;ag;10000;english
Egg, stekt;Egg;netto;48;d;107;norwegian
Egg, pan-fried;Eggs;netto;48;d;107;english
Eggehvite;Egg;netto;37;ag;108;norwegian
Egg white;Eggs;netto;37;ag;108;english
Eggehvite;Egg;desiliter;100;ag;108;norwegian
Egg white;Eggs;decilitre;100;ag;108;english
Eggeplomme;Egg;netto;18;ag;109;norwegian
Egg yolk;Eggs;netto;18;ag;109;english
Eggeplomme;Egg;desiliter;100;ag;109;norwegian
Egg yolk;Eggs;decilitre;100;ag;109;english
Eggerøre;Egg;porsjon;50;ģ;110;norwegian
Scrambled eggs;Eggs;portion;50;ģ;110;english
Eggerøre;Egg;desiliter;90;ag;110;norwegian
Scrambled eggs;Eggs;decilitre;90;ag;110;english
Omelett;Egg;porsjon;125;ģ;427;norwegian
Omelette;Eggs;portion;125;ģ;427;english
Egg, rå;Egg;ekstra stor;78;NA;10000;norwegian
Egg, raw;Eggs;extra large;78;NA;10000;english
Egg, rå;Egg;stor;68;NA;10000;norwegian
Egg, raw;Eggs;large;68;NA;10000;english
Egg, rå;Egg;mellomstor;58;NA;10000;norwegian
Egg, raw;Eggs;medium;58;NA;10000;english
Egg, rå;Egg;små;48;NA;10000;norwegian
Egg, raw;Eggs;small;48;NA;10000;english
Andekjøtt, med skinn;Fugl rå;portion;375;d;6;norwegian
Duck meat, with skin;Poultry raw;portion;375;d;6;english
Andekjøtt, uten skinn;Fugl rå;portion;395;d;8;norwegian
Duck meat, without skin;Poultry raw;portion;395;d;8;english
Gåsekjøtt, med skinn;Fugl rå;portion;365;d;200;norwegian
Goose meat, with skin;Poultry raw;portion;365;d;200;english
Gåsekjøtt, uten skinn;Fugl rå;portion;485;d;202;norwegian
Goose meat, without skin;Poultry raw;portion;485;d;202;english
Hønsekjøtt;Fugl rå;portion;215;d;234;norwegian
Chicken, hen meat;Poultry raw;portion;215;d;234;english
Kalkunkjøtt;Fugl rå;portion;195;f;254;norwegian
Turkey meat;Poultry raw;portion;195;f;254;english
Kylling, hel, kjøtt med skinn;Fugl rå;brutto;1400;y;320;norwegian
Chicken, with skin;Poultry raw;brutto;1400;y;320;english
Kylling, hel, kjøtt med skinn;Fugl rå;netto;990;b;320;norwegian
Chicken, with skin;Poultry raw;netto;990;b;320;english
Kylling, hel, kjøtt med skinn;Fugl rå;portion;195;f;320;norwegian
Chicken, with skin;Poultry raw;portion;195;f;320;english
Kylling, hel, kjøtt uten skinn;Fugl rå;brutto;1200;y;321;norwegian
Chicken, without skin;Poultry raw;brutto;1200;y;321;english
Kylling, hel, kjøtt uten skinn;Fugl rå;netto;785;b;321;norwegian
Chicken, without skin;Poultry raw;netto;785;b;321;english
Kylling, hel, kjøtt uten skinn;Fugl rå;portion;195;f;321;norwegian
Chicken, without skin;Poultry raw;portion;195;f;321;english
Kylling, lår, med skinn;Fugl rå;brutto;215;y;322;norwegian
Chicken, thigh and drumstick, with skin;Poultry raw;brutto;215;y;322;english
Kylling, lår, med skinn;Fugl rå;netto;170;b;322;norwegian
Chicken, thigh and drumstick, with skin;Poultry raw;netto;170;b;322;english
Kylling, lår, med skinn;Fugl rå;portion;195;f;322;norwegian
Chicken, thigh and drumstick, with skin;Poultry raw;portion;195;f;322;english
Kylling, lår, uten skinn;Fugl rå;brutto;185;y;323;norwegian
Chicken, thigh and drumstick, without skin;Poultry raw;brutto;185;y;323;english
Kylling, lår, uten skinn;Fugl rå;netto;140;b;323;norwegian
Chicken, thigh and drumstick, without skin;Poultry raw;netto;140;b;323;english
Kylling, lår, uten skinn;Fugl rå;portion;195;f;323;norwegian
Chicken, thigh and drumstick, without skin;Poultry raw;portion;195;f;323;english
Kylling, lårklubbe, med skinn;Fugl rå;brutto;100;y;324;norwegian
Chicken, drumstick, with skin;Poultry raw;brutto;100;y;324;english
Kylling, lårklubbe, med skinn;Fugl rå;netto;70;b;324;norwegian
Chicken, drumstick, with skin;Poultry raw;netto;70;b;324;english
Kylling, lårklubbe, med skinn;Fugl rå;portion;195;f;324;norwegian
Chicken, drumstick, with skin;Poultry raw;portion;195;f;324;english
Kylling, lårklubbe, uten skinn;Fugl rå;brutto;90;y;325;norwegian
Chicken, drumstick, without skin;Poultry raw;brutto;90;y;325;english
Kylling, lårklubbe, uten skinn;Fugl rå;netto;60;b;325;norwegian
Chicken, drumstick, without skin;Poultry raw;netto;60;b;325;english
Kylling, lårklubbe, uten skinn;Fugl rå;portion;195;f;325;norwegian
Chicken, drumstick, without skin;Poultry raw;portion;195;f;325;english
Kylling, vinge, med skinn;Fugl rå;brutto;30;y;326;norwegian
Chicken, wing, with skin;Poultry raw;brutto;30;y;326;english
Kylling, vinge, med skinn;Fugl rå;netto;20;b;326;norwegian
Chicken, wing, with skin;Poultry raw;netto;20;b;326;english
Kylling, vinge, med skinn;Fugl rå;portion;195;f;326;norwegian
Chicken, wing, with skin;Poultry raw;portion;195;f;326;english
Kylling, vinge, uten skinn;Fugl rå;brutto;22;y;327;norwegian
Chicken, wing, without skin;Poultry raw;brutto;22;y;327;english
Kylling, vinge, uten skinn;Fugl rå;netto;12;b;327;norwegian
Chicken, wing, without skin;Poultry raw;netto;12;b;327;english
Kylling, vinge, uten skinn;Fugl rå;portion;195;f;327;norwegian
Chicken, wing, without skin;Poultry raw;portion;195;f;327;english
Kyllingfilet;Fugl rå;brutto;175;x;329;norwegian
Chicken breast fillet;Poultry raw;brutto;175;x;329;english
Kyllingfilet;Fugl rå;netto;175;b;329;norwegian
Chicken breast fillet;Poultry raw;netto;175;b;329;english
Kyllingfilet;Fugl rå;portion;195;d;329;norwegian
Chicken breast fillet;Poultry raw;portion;195;d;329;english
Andekjøtt, ovnsstekt;Fugl tilberedt;portion;150;ģ;7;norwegian
Duck meat, roasted;Poultry prepared;portion;150;ģ;7;english
Gåsekjøtt, ovnsstekt;Fugl tilberedt;portion;150;ģ;201;norwegian
Goose meat, roasted;Poultry prepared;portion;150;ģ;201;english
Hønsekjøtt, kokt;Fugl tilberedt;portion;150;ģ;235;norwegian
Hen meat, boiled;Poultry prepared;portion;150;ģ;235;english
Kyllingfilet, kokt;Fugl tilberedt;brutto;120;d;330;norwegian
Chicken breast fillet, boiled;Poultry prepared;brutto;120;d;330;english
Kyllingfilet, kokt;Fugl tilberedt;netto;120;b;330;norwegian
Chicken breast fillet, boiled;Poultry prepared;netto;120;b;330;english
Kyllingfilet, kokt;Fugl tilberedt;portion;150;ģ;330;norwegian
Chicken breast fillet, boiled;Poultry prepared;portion;150;ģ;330;english
Kyllingfilet, ovnsstekt;Fugl tilberedt;brutto;140;d;331;norwegian
Chicken breast fillet, roasted;Poultry prepared;brutto;140;d;331;english
Kyllingfilet, ovnsstekt;Fugl tilberedt;netto;140;b;331;norwegian
Chicken breast fillet, roasted;Poultry prepared;netto;140;b;331;english
Kyllingfilet, ovnsstekt;Fugl tilberedt;portion;150;ģ;331;norwegian
Chicken breast fillet, roasted;Poultry prepared;portion;150;ģ;331;english
Kyllingfilet, stekt i panne;Fugl tilberedt;brutto;140;d;332;norwegian
Chicken breast fillet, pan-fried;Poultry prepared;brutto;140;d;332;english
Kyllingfilet, stekt i panne;Fugl tilberedt;netto;140;b;332;norwegian
Chicken breast fillet, pan-fried;Poultry prepared;netto;140;b;332;english
Kyllingfilet, stekt i panne;Fugl tilberedt;portion;150;ģ;332;norwegian
Chicken breast fillet, pan-fried;Poultry prepared;portion;150;ģ;332;english
Kotelett, kjøtt med fettrand;Kjøtt lam rå;brutto;145;o;307;norwegian
Chops, with fat;Meat lamb raw;brutto;145;o;307;english
Kotelett, kjøtt med fettrand;Kjøtt lam rå;netto;105;b;307;norwegian
Chops, with fat;Meat lamb raw;netto;105;b;307;english
Kotelett, kjøtt med fettrand;Kjøtt lam rå;portion;270;d;307;norwegian
Chops, with fat;Meat lamb raw;portion;270;d;307;english
Kotelett, kjøtt uten fettrand;Kjøtt lam rå;portion;270;d;308;norwegian
Chops, fat trimmed;Meat lamb raw;portion;270;d;308;english
Lår, med mørbrad;Kjøtt lam rå;portion;265;d;361;norwegian
Leg, with shank and sirloin;Meat lamb raw;portion;265;d;361;english
Kotelett, stekt;Kjøtt lam stekt;brutto;80;d;309;norwegian
Chops, cutlet, pan-fried;Meat lamb prepared;brutto;80;d;309;english
Kotelett, stekt;Kjøtt lam stekt;netto;60;b;309;norwegian
Chops, cutlet, pan-fried;Meat lamb prepared;netto;60;b;309;english
Kotelett, stekt;Kjøtt lam stekt;portion;150;ģ;309;norwegian
Chops, cutlet, pan-fried;Meat lamb prepared;portion;150;ģ;309;english
Lårstek med mørbrad, ovnsstekt;Kjøtt lam stekt;portion;150;ģ;362;norwegian
Leg, with shank and sirloin, roasted;Meat lamb prepared;portion;150;ģ;362;english
Entrecôtekam;Kjøtt storfe rå;portion;195;d;113;norwegian
Rib-eye steak, fillet steak;Meat beef raw;portion;195;d;113;english
Kalvekjøtt;Kjøtt storfe rå;portion;200;f;255;norwegian
Veal;Meat beef raw;portion;200;f;255;english
Storfekjøtt;Kjøtt storfe rå;portion;200;f;610;norwegian
Beef;Meat beef raw;portion;200;f;610;english
Ytrefilet;Kjøtt storfe rå;portion;200;d;676;norwegian
Striploin;Meat beef raw;portion;200;d;676;english
Entrecôtekam, stekt;Kjøtt storfe tilberedt;portion;150;ģ;114;norwegian
Rib-eye steak, fillet steak, roasted;Meat beef prepared;portion;150;ģ;114;english
Kalvekjøtt, tilberedt;Kjøtt storfe tilberedt;portion;150;ģ;256;norwegian
Veal, prepared;Meat beef prepared;portion;150;ģ;256;english
Storfekjøtt, tilberedt;Kjøtt storfe tilberedt;portion;150;ģ;611;norwegian
Beef, prepared;Meat beef prepared;portion;150;ģ;611;english
Ytrefilet, stekt;Kjøtt storfe tilberedt;portion;150;ģ;677;norwegian
Striploin, roasted;Meat beef prepared;portion;150;ģ;677;english
Bacon;Kjøtt svin rå;skive;20;a;21;norwegian
Bacon;Meat pork raw;rasher;20;a;21;english
Familieribbe;Kjøtt svin rå;portion;230;d;122;norwegian
Rib with loin;Meat pork raw;portion;230;d;122;english
Flatbiff;Kjøtt svin rå;portion;200;d;146;norwegian
Inside round;Meat pork raw;portion;200;d;146;english
Kotelett, kam, med fettrand;Kjøtt svin rå;brutto;170;o;306;norwegian
Pork Chops, loin with bones;Meat pork raw;brutto;170;o;306;english
Kotelett, kam, med fettrand;Kjøtt svin rå;netto;130;b;306;norwegian
Pork Chops, loin with bones;Meat pork raw;netto;130;b;306;english
Kotelett, kam, med fettrand;Kjøtt svin rå;portion;200;d;306;norwegian
Pork Chops, loin with bones;Meat pork raw;portion;200;d;306;english
Nakkekotelett;Kjøtt svin rå;brutto;220;o;412;norwegian
Pork neck chops;Meat pork raw;brutto;220;o;412;english
Nakkekotelett;Kjøtt svin rå;netto;180;b;412;norwegian
Pork neck chops;Meat pork raw;netto;180;b;412;english
Nakkekotelett;Kjøtt svin rå;portion;230;d;412;norwegian
Pork neck chops;Meat pork raw;portion;230;d;412;english
Sideflesk;Kjøtt svin rå;portion;150;w;558;norwegian
Side bacon;Meat pork raw;portion;150;w;558;english
Svinekjøtt;Kjøtt svin rå;portion;200;f;621;norwegian
Pork;Meat pork raw;portion;200;f;621;english
Bacon, stekt;Kjøtt svin tilberedt;skive;6;d;22;norwegian
Bacon, pan-fried;Meat pork prepared;rasher;6;d;22;english
Familieribbe, stekt;Kjøtt svin tilberedt;portion;150;ģ;123;norwegian
Rib with loin, roasted;Meat pork prepared;portion;150;ģ;123;english
Flatbiff, stekt;Kjøtt svin tilberedt;portion;150;ģ;147;norwegian
Inside round, roasted;Meat pork prepared;portion;150;ģ;147;english
Kotelett, kam med fettrand, stekt;Kjøtt svin tilberedt;brutto;130;d;305;norwegian
Loin chops with bones, roasted;Meat pork prepared;brutto;130;d;305;english
Kotelett, kam med fettrand, stekt;Kjøtt svin tilberedt;netto;100;b;305;norwegian
Loin chops with bones, roasted;Meat pork prepared;netto;100;b;305;english
Kotelett, kam med fettrand, stekt;Kjøtt svin tilberedt;portion;150;ģ;305;norwegian
Loin chops with bones, roasted;Meat pork prepared;portion;150;ģ;305;english
Nakkekotelett, stekt;Kjøtt svin tilberedt;brutto;145;d;413;norwegian
Pork neck chops, roasted;Meat pork prepared;brutto;145;d;413;english
Nakkekotelett, stekt;Kjøtt svin tilberedt;netto;110;b;413;norwegian
Pork neck chops, roasted;Meat pork prepared;netto;110;b;413;english
Nakkekotelett, stekt;Kjøtt svin tilberedt;portion;150;ģ;413;norwegian
Pork neck chops, roasted;Meat pork prepared;portion;150;ģ;413;english
Sideflesk, stekt;Kjøtt svin tilberedt;portion;55;d;559;norwegian
Side bacon, pan-fried;Meat pork prepared;portion;55;d;559;english
Svinekjøtt, tilberedt;Kjøtt svin tilberedt;portion;150;ģ;622;norwegian
Pork meat, prepared;Meat pork prepared;portion;150;ģ;622;english
Viltkjøtt, rå;Vilt;portion;200;d;665;norwegian
Venison, raw;Venison;portion;200;d;665;english
Viltkjøtt, tilberedt;Vilt tilberedt;portion;150;ģ;666;norwegian
Venison, prepared;Venison;portion;150;ģ;666;english
Falukorv;Kjøtt pølser;stk;400;NA;121;norwegian
Falukorv;Kjøtt pølser;stk;800;o;121;norwegian
Swedish sausage;Meat sausages;per item;400;NA;121;english
Swedish sausage;Meat sausages;per item;800;o;121;english
Grillpølse;Kjøtt pølser;stk;60;o;185;norwegian
Grill sausage, hot dogs;Meat sausages;per item;60;o;185;english
Grillpølse, kylling og kalkun;Kjøtt pølser;stk;60;o;186;norwegian
Grill sausage, chicken and turkey;Meat sausages;per item;60;o;186;english
Grillpølse, med mindre fett;Kjøtt pølser;stk;60;o;187;norwegian
Grill sausage, lean;Meat sausages;per item;60;o;187;english
Kjøttpølse;Kjøtt pølser;stk;90;NA;283;norwegian
Kjøttpølse;Kjøtt pølser;stk;150;o;283;norwegian
Meat sausage;Meat sausages;per item;90;NA;283;english
Meat sausage;Meat sausages;per item;150;o;283;english
Kjøttpølse, med mindre fett;Kjøtt pølser;stk;90;o;284;norwegian
Meat sausage, lean;Meat sausages;per item;90;o;284;english
Knakkpølse;Kjøtt pølser;stk;65;o;286;norwegian
Mild dinner sausage, Knakkpølse;Meat sausages;per item;65;o;286;english
Kylling- og kalkunpølse, med mindre fett;Kjøtt pølser;stk;60;o;318;norwegian
Chicken and turkey sausage, lean;Meat sausages;per item;60;o;318;english
Kylling- og kalkunpølse, med ost;Kjøtt pølser;stk;60;o;319;norwegian
Chicken and turkey sausage, with cheese;Meat sausages;per item;60;o;319;english
Medisterpølse;Kjøtt pølser;stk;400;o;386;norwegian
Pork sausage;Meat sausages;per item;400;o;386;english
Ostegrill;Kjøtt pølser;stk;80;o;428;norwegian
Grill sausage, with cheese;Meat sausages;per item;80;o;428;english
Sosisser;Kjøtt pølser;stk;30;ag;593;norwegian
Cocktail sausage;Meat sausages;per item;30;ag;593;english
Wienerpølse;Kjøtt pølser;stk;65;o;672;norwegian
Wiener/frankfurter;Meat sausages;per item;65;o;672;english
Wienerpølse, med mindre fett;Kjøtt pølser;stk;65;o;673;norwegian
Wiener/frankfurter, lean;Meat sausages;per item;65;o;673;english
Bayonneskinke;Kjøtt pålegg;Pr skive;15;m;31;norwegian
Smoked picnic shoulder;Meat cold cuts;Per slice;15;m;31;english
Fenalår;Kjøtt pålegg;Pr skive;15;ag;124;norwegian
Cured leg of mutton;Meat cold cuts;Per slice;15;ag;124;english
Fleskepølse;Kjøtt pålegg;Pr brødskive;15;f;150;norwegian
Pork sausage;Meat cold cuts;Per slice of bread;15;f;150;english
Fårepølse;Kjøtt pålegg;Pr skive;5;n;162;norwegian
Mutton sausage;Meat cold cuts;Per slice;5;n;162;english
Kalkunfilet;Kjøtt pålegg;Pr skive;11;o;253;norwegian
Turkey ham, for sandwiches;Meat cold cuts;Per slice;11;o;253;english
Kalverull;Kjøtt pålegg;Pr skive;12;ag;257;norwegian
Veal roll;Meat cold cuts;Per slice;12;ag;257;english
Kokt skinke;Kjøtt pålegg;Pr skive;12;o;301;norwegian
Boiled ham;Meat cold cuts;Per slice;12;o;301;english
Lammerull;Kjøtt pålegg;Pr skive;12;a;342;norwegian
Lamb roll;Meat cold cuts;Per slice;12;a;342;english
Leverpostei;Kjøtt pålegg;Pr brødskive;20;g;347;norwegian
Liver paste;Meat cold cuts;Per slice of bread;20;g;347;english
Morrpølse;Kjøtt pålegg;Pr skive;2;a;401;norwegian
Sausage, cured, Morr;Meat cold cuts;Per slice;2;a;401;english
Okserull;Kjøtt pålegg;Pr skive;9;o;423;norwegian
Rolled beef;Meat cold cuts;Per slice;9;o;423;english
Reinsdyrpølse;Kjøtt pålegg;Pr skive;3,5;a;497;norwegian
Reindeer sausage;Meat cold cuts;Per slice;3,5;a;497;english
Ribberull;Kjøtt pålegg;Pr skive;14;a;502;norwegian
Pork roll;Meat cold cuts;Per slice;14;a;502;english
Roastbiff;Kjøtt pålegg;Pr skive;13;a;513;norwegian
Roast beef;Meat cold cuts;Per slice;13;a;513;english
Salami;Kjøtt pålegg;Pr skive;7;a;538;norwegian
Salami;Meat cold cuts;Per slice;7;a;538;english
Salami, dansk type;Kjøtt pålegg;Pr skive;10;a;539;norwegian
Salami, Danish;Meat cold cuts;Per slice;10;a;539;english
Salami, med mindre fett;Kjøtt pålegg;Pr skive;7;o;540;norwegian
Salami, lean;Meat cold cuts;Per slice;7;o;540;english
Servelat;Kjøtt pålegg;Pr skive;9;o;552;norwegian
Bologna;Meat cold cuts;Per slice;9;o;552;english
Servelat, med mindre fett;Kjøtt pålegg;Pr skive;9;o;553;norwegian
Bologna, lean;Meat cold cuts;Per slice;9;o;553;english
Spekeskinke;Kjøtt pålegg;Pr skive;8;a;600;norwegian
Smoke-cured ham;Meat cold cuts;Per slice;8;a;600;english
Stabburpølse;Kjøtt pålegg;Pr skive;4,5;a;605;norwegian
Sausage, Stabburpølse;Meat cold cuts;Per slice;4,5;a;605;english
Svinekam, røkt;Kjøtt pålegg;Pr skive;15;f;620;norwegian
Pork loin, smoked;Meat cold cuts;Per slice;15;f;620;english
Sylte;Kjøtt pålegg;Pr skive;11;m;624;norwegian
Head cheese;Meat cold cuts;Per slice;11;m;624;english
Westfalerskinke;Kjøtt pålegg;Pr skive;12;ag;669;norwegian
Cured ham;Meat cold cuts;Per slice;12;ag;669;english
Bogskinke, hermetisk;Kjøttprodukter;skive;25;a;44;norwegian
Boiled ham, canned;Meat products;slice;25;a;44;english
Hamburger, rå;Kjøttprodukter;stk;100;o;206;norwegian
Ground meat, raw;Meat products;one;100;o;206;english
Karbonade,stekt;Kjøttprodukter;portion;150;g;266;norwegian
Beef patties, fried;Meat products;portion;150;g;266;english
Karbonade,stekt;Kjøttprodukter;stk;100;o;266;norwegian
Beef patties, fried;Meat products;one;100;o;266;english
Kjøttboller, hermetisk;Kjøttprodukter;portion;150;g;279;norwegian
Meat balls, canned;Meat products;portion;150;g;279;english
Kjøttboller, hermetisk;Kjøttprodukter;stk;9;a;279;norwegian
Meat balls, canned;Meat products;one;9;a;279;english
Kjøttboller, kylling og kalkun;Kjøttprodukter;portion;150;g;280;norwegian
Chicken and turkey meat balls;Meat products;portion;150;g;280;english
Kjøttboller, kylling og kalkun;Kjøttprodukter;stk;15;a;280;norwegian
Chicken and turkey meat balls;Meat products;one;15;a;280;english
Kjøttkaker;Kjøttprodukter;portion;150;g;281;norwegian
Meat rissoles;Meat products;portion;150;g;281;english
Kjøttkaker;Kjøttprodukter;stk;55;o;281;norwegian
Meat rissoles;Meat products;one;55;o;281;english
Kjøttpudding;Kjøttprodukter;portion;150;g;282;norwegian
Meat loaf;Meat products;portion;150;g;282;english
Kjøttpudding;Kjøttprodukter;skive;30;a;282;norwegian
Meat loaf;Meat products;slice;30;a;282;english
Kyllingnuggets, dagligvare;Kjøttprodukter;stk;20;o;333;norwegian
Chicken nuggets, industrially made;Meat products;one;20;o;333;english
Kyllingnuggets, fastfood;Kjøttprodukter;stk;16;a;334;norwegian
Chicken nuggets, fastfood;Meat products;one;16;a;334;english
