FoodID,Food,Foodgroup,unit,g
01.215,"Milk, semi-skimmed, 1,0 % fat, lactose free",Milk and milk based beverages,dl,100
01.215,"Milk, semi-skimmed, 1,0 % fat, lactose free",Milk and milk based beverages,tbsp,11
01.215,"Milk, semi-skimmed, 1,0 % fat, lactose free",Milk and milk based beverages,tsp,5
01.118,"Milk, semi-skimmed, 1,0 % fat, lactose reduced",Milk and milk based beverages,dl,100
01.118,"Milk, semi-skimmed, 1,0 % fat, lactose reduced",Milk and milk based beverages,tbsp,11
01.118,"Milk, semi-skimmed, 1,0 % fat, lactose reduced",Milk and milk based beverages,tsp,5
01.002,"Milk, semi-skimmed, 1,0 % fat, Tine",Milk and milk based beverages,dl,100
01.002,"Milk, semi-skimmed, 1,0 % fat, Tine",Milk and milk based beverages,tbsp,11
01.002,"Milk, semi-skimmed, 1,0 % fat, Tine",Milk and milk based beverages,tsp,5
01.268,"Milk, semi-skimmed, 1,2 % fat, organic",Milk and milk based beverages,dl,100
01.268,"Milk, semi-skimmed, 1,2 % fat, organic",Milk and milk based beverages,tbsp,11
01.268,"Milk, semi-skimmed, 1,2 % fat, organic",Milk and milk based beverages,tsp,5
01.119,"Milk, semi-skimmed, 1,2 % fat, UHT-treated",Milk and milk based beverages,dl,100
01.119,"Milk, semi-skimmed, 1,2 % fat, UHT-treated",Milk and milk based beverages,tbsp,11
01.119,"Milk, semi-skimmed, 1,2 % fat, UHT-treated",Milk and milk based beverages,tsp,5
01.229,"Milk, semi-skimmed, 1-1,2 % fat, unspecified",Milk and milk based beverages,dl,100
01.229,"Milk, semi-skimmed, 1-1,2 % fat, unspecified",Milk and milk based beverages,tbsp,11
01.229,"Milk, semi-skimmed, 1-1,2 % fat, unspecified",Milk and milk based beverages,tsp,5
01.278,"Milk, semi-skimmed, beetroot/apple/lime, Biola",Milk and milk based beverages,dl,100
01.278,"Milk, semi-skimmed, beetroot/apple/lime, Biola",Milk and milk based beverages,tbsp,11
01.278,"Milk, semi-skimmed, beetroot/apple/lime, Biola",Milk and milk based beverages,tsp,5
01.227,"Milk, semi-skimmed, chocolate flavour, vitamin D",Milk and milk based beverages,dl,100
01.227,"Milk, semi-skimmed, chocolate flavour, vitamin D",Milk and milk based beverages,tbsp,11
01.227,"Milk, semi-skimmed, chocolate flavour, vitamin D",Milk and milk based beverages,tsp,5
01.277,"Milk, semi-skimmed, cultured, lactose free, Biola",Milk and milk based beverages,dl,100
01.277,"Milk, semi-skimmed, cultured, lactose free, Biola",Milk and milk based beverages,tbsp,11
01.277,"Milk, semi-skimmed, cultured, lactose free, Biola",Milk and milk based beverages,tsp,5
01.292,"Milk, semi-skimmed, unspecified",Milk and milk based beverages,dl,100
01.292,"Milk, semi-skimmed, unspecified",Milk and milk based beverages,tbsp,11
01.292,"Milk, semi-skimmed, unspecified",Milk and milk based beverages,tsp,5
01.289,"Milk, skimmed, Styrk",Milk and milk based beverages,dl,100
01.289,"Milk, skimmed, Styrk",Milk and milk based beverages,tbsp,11
01.289,"Milk, skimmed, Styrk",Milk and milk based beverages,tsp,5
01.003,"Milk, skimmed, Tine",Milk and milk based beverages,dl,100
01.003,"Milk, skimmed, Tine",Milk and milk based beverages,tbsp,11
01.003,"Milk, skimmed, Tine",Milk and milk based beverages,tsp,5
01.291,"Milk, unspecified",Milk and milk based beverages,dl,100
01.291,"Milk, unspecified",Milk and milk based beverages,tbsp,11
01.291,"Milk, unspecified",Milk and milk based beverages,tsp,5
01.272,"Milk, whole, 3,5 % fat, lactose free",Milk and milk based beverages,dl,100
01.272,"Milk, whole, 3,5 % fat, lactose free",Milk and milk based beverages,tbsp,11
01.272,"Milk, whole, 3,5 % fat, lactose free",Milk and milk based beverages,tsp,5
01.283,"Milk, whole, 3,5 % fat, organic",Milk and milk based beverages,dl,100
01.283,"Milk, whole, 3,5 % fat, organic",Milk and milk based beverages,tbsp,11
01.283,"Milk, whole, 3,5 % fat, organic",Milk and milk based beverages,tsp,5
01.001,"Milk, whole, 3,5 % fat, Tine",Milk and milk based beverages,dl,100
01.001,"Milk, whole, 3,5 % fat, Tine",Milk and milk based beverages,tbsp,11
01.001,"Milk, whole, 3,5 % fat, Tine",Milk and milk based beverages,tsp,5
01.235,"Milk, whole, 3,9 % fat, Q-meieriene",Milk and milk based beverages,dl,100
01.235,"Milk, whole, 3,9 % fat, Q-meieriene",Milk and milk based beverages,tbsp,11
01.235,"Milk, whole, 3,9 % fat, Q-meieriene",Milk and milk based beverages,tsp,5
01.236,"Milk, whole, unspecified",Milk and milk based beverages,dl,100
01.236,"Milk, whole, unspecified",Milk and milk based beverages,tbsp,11
01.236,"Milk, whole, unspecified",Milk and milk based beverages,tsp,5
01.079,"Milkshake, chocolate flavour",Milk and milk based beverages,dl,100
01.079,"Milkshake, chocolate flavour",Milk and milk based beverages,tbsp,11
01.079,"Milkshake, chocolate flavour",Milk and milk based beverages,tsp,5
01.104,"Milkshake, strawberry flavour",Milk and milk based beverages,dl,100
01.104,"Milkshake, strawberry flavour",Milk and milk based beverages,tbsp,11
01.104,"Milkshake, strawberry flavour",Milk and milk based beverages,tsp,5
01.234,"Cultured milk, plain, Skyr",Yoghurt,dl,100
01.234,"Cultured milk, plain, Skyr",Yoghurt,tbsp,11
01.234,"Cultured milk, plain, Skyr",Yoghurt,tsp,5
01.233,"Cultured milk, with flavour, Skyr",Yoghurt,dl,100
01.233,"Cultured milk, with flavour, Skyr",Yoghurt,tbsp,11
01.233,"Cultured milk, with flavour, Skyr",Yoghurt,tsp,5
01.281,"Yoghurt, lactose free, lemon",Yoghurt,dl,100
01.281,"Yoghurt, lactose free, lemon",Yoghurt,tbsp,18
01.281,"Yoghurt, lactose free, lemon",Yoghurt,tsp,7
01.279,"Yoghurt, lactose free, vanilla",Yoghurt,dl,100
01.279,"Yoghurt, lactose free, vanilla",Yoghurt,tbsp,18
01.279,"Yoghurt, lactose free, vanilla",Yoghurt,tsp,7
01.172,"Yoghurt, plain, Biola",Yoghurt,dl,100
01.172,"Yoghurt, plain, Biola",Yoghurt,tbsp,18
01.172,"Yoghurt, plain, Biola",Yoghurt,tsp,7
01.174,"Yoghurt, skimmed, 0,1 % fat, fruit, Yoplait",Yoghurt,dl,100
01.174,"Yoghurt, skimmed, 0,1 % fat, fruit, Yoplait",Yoghurt,tbsp,18
01.174,"Yoghurt, skimmed, 0,1 % fat, fruit, Yoplait",Yoghurt,tsp,7
01.011,"Yoghurt, whole milk, plain",Yoghurt,dl,100
01.011,"Yoghurt, whole milk, plain",Yoghurt,tbsp,18
01.011,"Yoghurt, whole milk, plain",Yoghurt,tsp,7
01.275,"Yoghurt, whole milk, plain, lactose free",Yoghurt,dl,100
01.275,"Yoghurt, whole milk, plain, lactose free",Yoghurt,tbsp,18
01.275,"Yoghurt, whole milk, plain, lactose free",Yoghurt,tsp,7
01.290,"Yoghurt, whole milk, plain, organic",Yoghurt,dl,100
01.290,"Yoghurt, whole milk, plain, organic",Yoghurt,tbsp,18
01.290,"Yoghurt, whole milk, plain, organic",Yoghurt,tsp,7
01.222,"Yoghurt, with muesli and berries",Yoghurt,dl,100
01.222,"Yoghurt, with muesli and berries",Yoghurt,tbsp,18
01.222,"Yoghurt, with muesli and berries",Yoghurt,tsp,7
01.096,"Yoghurt, with strawberry",Yoghurt,dl,100
01.096,"Yoghurt, with strawberry",Yoghurt,tbsp,18
01.096,"Yoghurt, with strawberry",Yoghurt,tsp,7
01.177,"Coffee whitener, vegetable fat","Cream, sour cream and replacer",dl,100
01.177,"Coffee whitener, vegetable fat","Cream, sour cream and replacer",tbsp,11
01.177,"Coffee whitener, vegetable fat","Cream, sour cream and replacer",tsp,5
01.178,"Cream substitute, vegetable fat, for cooking","Cream, sour cream and replacer",dl,100
01.178,"Cream substitute, vegetable fat, for cooking","Cream, sour cream and replacer",tbsp,11
01.178,"Cream substitute, vegetable fat, for cooking","Cream, sour cream and replacer",tsp,5
01.294,"Cream substitute, vegetable fat, oat, 13 %","Cream, sour cream and replacer",dl,100
01.294,"Cream substitute, vegetable fat, oat, 13 %","Cream, sour cream and replacer",tbsp,11
01.294,"Cream substitute, vegetable fat, oat, 13 %","Cream, sour cream and replacer",tsp,5
01.293,"Cream substitute, vegetable fat, soy, 17 % fat","Cream, sour cream and replacer",dl,100
01.293,"Cream substitute, vegetable fat, soy, 17 % fat","Cream, sour cream and replacer",tbsp,11
01.293,"Cream substitute, vegetable fat, soy, 17 % fat","Cream, sour cream and replacer",tsp,5
01.179,"Cream substitute, vegetable fat, whipped cream, canned","Cream, sour cream and replacer",dl,100
01.179,"Cream substitute, vegetable fat, whipped cream, canned","Cream, sour cream and replacer",tbsp,11
01.179,"Cream substitute, vegetable fat, whipped cream, canned","Cream, sour cream and replacer",tsp,5
01.189,"Cream substitute, vegetable fat, whipping","Cream, sour cream and replacer",dl,100
01.189,"Cream substitute, vegetable fat, whipping","Cream, sour cream and replacer",tbsp,11
01.189,"Cream substitute, vegetable fat, whipping","Cream, sour cream and replacer",tsp,5
01.108,"Cream, coffee, 10 % fat","Cream, sour cream and replacer",dl,100
01.108,"Cream, coffee, 10 % fat","Cream, sour cream and replacer",tbsp,11
01.108,"Cream, coffee, 10 % fat","Cream, sour cream and replacer",tsp,5
01.175,"Cream, household, 18 % fat","Cream, sour cream and replacer",dl,100
01.175,"Cream, household, 18 % fat","Cream, sour cream and replacer",tbsp,11
01.175,"Cream, household, 18 % fat","Cream, sour cream and replacer",tsp,5
01.086,"Cream, sour, 35 % fat","Cream, sour cream and replacer",dl,100
01.086,"Cream, sour, 35 % fat","Cream, sour cream and replacer",tbsp,18
01.086,"Cream, sour, 35 % fat","Cream, sour cream and replacer",tsp,7
01.089,"Cream, sour, 35 % fat, Crème Fraîche","Cream, sour cream and replacer",dl,100
01.089,"Cream, sour, 35 % fat, Crème Fraîche","Cream, sour cream and replacer",tbsp,18
01.089,"Cream, sour, 35 % fat, Crème Fraîche","Cream, sour cream and replacer",tsp,7
01.088,"Cream, sour, extra low-fat, 10 % fat","Cream, sour cream and replacer",dl,100
01.088,"Cream, sour, extra low-fat, 10 % fat","Cream, sour cream and replacer",tbsp,18
01.088,"Cream, sour, extra low-fat, 10 % fat","Cream, sour cream and replacer",tsp,7
01.087,"Cream, sour, low-fat, 18 % fat","Cream, sour cream and replacer",dl,100
01.087,"Cream, sour, low-fat, 18 % fat","Cream, sour cream and replacer",tbsp,18
01.087,"Cream, sour, low-fat, 18 % fat","Cream, sour cream and replacer",tsp,7
01.286,"Cream, sour, low-fat, 18 % fat, organic","Cream, sour cream and replacer",dl,100
01.286,"Cream, sour, low-fat, 18 % fat, organic","Cream, sour cream and replacer",tbsp,18
01.286,"Cream, sour, low-fat, 18 % fat, organic","Cream, sour cream and replacer",tsp,7
01.225,"Cream, whipped, canned","Cream, sour cream and replacer",dl,100
01.225,"Cream, whipped, canned","Cream, sour cream and replacer",tbsp,11
01.225,"Cream, whipped, canned","Cream, sour cream and replacer",tsp,5
01.015,"Cream, whipping, 37 % fat","Cream, sour cream and replacer",dl,100
01.015,"Cream, whipping, 37 % fat","Cream, sour cream and replacer",tbsp,11
01.015,"Cream, whipping, 37 % fat","Cream, sour cream and replacer",tsp,5
01.273,"Cream, whipping, 37 % fat, lactose free","Cream, sour cream and replacer",dl,100
01.273,"Cream, whipping, 37 % fat, lactose free","Cream, sour cream and replacer",tbsp,11
01.273,"Cream, whipping, 37 % fat, lactose free","Cream, sour cream and replacer",tsp,5
01.295,"Cultured, thickened oat product","Cream, sour cream and replacer",dl,100
01.295,"Cultured, thickened oat product","Cream, sour cream and replacer",tbsp,11
01.295,"Cultured, thickened oat product","Cream, sour cream and replacer",tsp,5
01.180,"Dressing, sour cream with herbs","Cream, sour cream and replacer",dl,100
01.180,"Dressing, sour cream with herbs","Cream, sour cream and replacer",tbsp,18
01.180,"Dressing, sour cream with herbs","Cream, sour cream and replacer",tsp,7
01.036,"Quark, 1 % fat","Cream, sour cream and replacer",dl,100
01.036,"Quark, 1 % fat","Cream, sour cream and replacer",tbsp,18
01.036,"Quark, 1 % fat","Cream, sour cream and replacer",tsp,7
01.226,"Quark, 7 % fat","Cream, sour cream and replacer",dl,100
01.226,"Quark, 7 % fat","Cream, sour cream and replacer",tbsp,18
01.226,"Quark, 7 % fat","Cream, sour cream and replacer",tsp,7
01.261,"Cheese, blue mold, gorgonzola","Cheese, extra fat",portion,30
01.042,"Cheese, blue mold, Norzola","Cheese, extra fat",portion,30
01.287,"Cheese, blue mold, organic, Selbu Blå","Cheese, extra fat",portion,30
01.264,"Cheese, blue mold, roquefort","Cheese, extra fat",portion,30
01.144,"Cheese, blue mold, Royal Blue","Cheese, extra fat",portion,30
01.252,"Cheese, blue mold, Selbu Blå","Cheese, extra fat",portion,30
01.262,"Cheese, gruyere","Cheese, extra fat",slice (sliced with a cheese slicer),10
01.262,"Cheese, gruyere","Cheese, extra fat",for a slice of bread,20
01.262,"Cheese, gruyere","Cheese, extra fat",pre-sliced cheese,13
01.262,"Cheese, gruyere","Cheese, extra fat",dl,40
01.027,"Cheese, hard, Cheddar","Cheese, extra fat",slice (sliced with a cheese slicer),10
01.027,"Cheese, hard, Cheddar","Cheese, extra fat",for a slice of bread,20
01.027,"Cheese, hard, Cheddar","Cheese, extra fat",pre-sliced cheese,13
01.027,"Cheese, hard, Cheddar","Cheese, extra fat",dl,40
01.263,"Cheese, mascarpone","Cheese, extra fat",for a slice of bread,15
01.136,"Cheese, ripened, Brie","Cheese, extra fat",slice (sliced with a knife),13
01.062,"Cheese, semihard, Crème Chérie","Cheese, extra fat",slice (sliced with a cheese slicer),10
01.062,"Cheese, semihard, Crème Chérie","Cheese, extra fat",for a slice of bread,20
01.062,"Cheese, semihard, Crème Chérie","Cheese, extra fat",pre-sliced cheese,13
01.062,"Cheese, semihard, Crème Chérie","Cheese, extra fat",dl,40
01.038,"Cheese, semihard, Gräddost","Cheese, extra fat",slice (sliced with a cheese slicer),10
01.038,"Cheese, semihard, Gräddost","Cheese, extra fat",for a slice of bread,20
01.038,"Cheese, semihard, Gräddost","Cheese, extra fat",pre-sliced cheese,13
01.038,"Cheese, semihard, Gräddost","Cheese, extra fat",dl,40
01.048,"Cheese, semihard, Ridderost","Cheese, extra fat",slice (sliced with a cheese slicer),10
01.048,"Cheese, semihard, Ridderost","Cheese, extra fat",for a slice of bread,20
01.048,"Cheese, semihard, Ridderost","Cheese, extra fat",pre-sliced cheese,13
01.048,"Cheese, semihard, Ridderost","Cheese, extra fat",dl,40
01.265,"Cheese, stilton, blue","Cheese, extra fat",portion,30
01.282,"Cheese, Østavind","Cheese, extra fat",slice (sliced with a cheese slicer),10
01.282,"Cheese, Østavind","Cheese, extra fat",for a slice of bread,20
01.282,"Cheese, Østavind","Cheese, extra fat",pre-sliced cheese,13
01.282,"Cheese, Østavind","Cheese, extra fat",dl,40
01.248,"Goat cheese, hard, white, Balsfjord","Cheese, extra fat",slice (sliced with a cheese slicer),10
01.248,"Goat cheese, hard, white, Balsfjord","Cheese, extra fat",for a slice of bread,20
01.248,"Goat cheese, hard, white, Balsfjord","Cheese, extra fat",pre-sliced cheese,13
01.248,"Goat cheese, hard, white, Balsfjord","Cheese, extra fat",dl,40
01.190,"Cheese substitute, vegetable fat","Cheese, full fat",slice (sliced with a cheese slicer),10
01.190,"Cheese substitute, vegetable fat","Cheese, full fat",for a slice of bread,20
01.190,"Cheese substitute, vegetable fat","Cheese, full fat",pre-sliced cheese,13
01.190,"Cheese substitute, vegetable fat","Cheese, full fat",dl,40
01.037,"Cheese, blue mold, Normanna","Cheese, full fat",portion,30
01.188,"Cheese, goat milk, Feta","Cheese, full fat",decilitre (in cubes),60
01.219,"Cheese, grated","Cheese, full fat",slice (sliced with a cheese slicer),10
01.219,"Cheese, grated","Cheese, full fat",for a slice of bread,20
01.219,"Cheese, grated","Cheese, full fat",pre-sliced cheese,13
01.219,"Cheese, grated","Cheese, full fat",dl,40
01.043,"Cheese, hard, caraway spiced, Nøkkelost","Cheese, full fat",slice (sliced with a cheese slicer),10
01.043,"Cheese, hard, caraway spiced, Nøkkelost","Cheese, full fat",for a slice of bread,20
01.043,"Cheese, hard, caraway spiced, Nøkkelost","Cheese, full fat",pre-sliced cheese,13
01.043,"Cheese, hard, caraway spiced, Nøkkelost","Cheese, full fat",dl,40
01.030,"Cheese, hard, Edam","Cheese, full fat",slice (sliced with a cheese slicer),10
01.030,"Cheese, hard, Edam","Cheese, full fat",for a slice of bread,20
01.030,"Cheese, hard, Edam","Cheese, full fat",pre-sliced cheese,13
01.030,"Cheese, hard, Edam","Cheese, full fat",dl,40
01.035,"Cheese, hard, Jarlsberg","Cheese, full fat",slice (sliced with a cheese slicer),10
01.035,"Cheese, hard, Jarlsberg","Cheese, full fat",for a slice of bread,20
01.035,"Cheese, hard, Jarlsberg","Cheese, full fat",pre-sliced cheese,13
01.035,"Cheese, hard, Jarlsberg","Cheese, full fat",dl,40
01.245,"Cheese, hard, matured, Norvegia","Cheese, full fat",slice (sliced with a cheese slicer),10
01.245,"Cheese, hard, matured, Norvegia","Cheese, full fat",for a slice of bread,20
01.245,"Cheese, hard, matured, Norvegia","Cheese, full fat",pre-sliced cheese,13
01.245,"Cheese, hard, matured, Norvegia","Cheese, full fat",dl,40
01.039,"Cheese, hard, Norvegia","Cheese, full fat",slice (sliced with a cheese slicer),10
01.039,"Cheese, hard, Norvegia","Cheese, full fat",for a slice of bread,20
01.039,"Cheese, hard, Norvegia","Cheese, full fat",pre-sliced cheese,13
01.039,"Cheese, hard, Norvegia","Cheese, full fat",dl,40
01.246,"Cheese, hard, organic, Norvegia","Cheese, full fat",slice (sliced with a cheese slicer),10
01.246,"Cheese, hard, organic, Norvegia","Cheese, full fat",for a slice of bread,20
01.246,"Cheese, hard, organic, Norvegia","Cheese, full fat",pre-sliced cheese,13
01.246,"Cheese, hard, organic, Norvegia","Cheese, full fat",dl,40
01.200,"Cheese, hard, Parmesan","Cheese, full fat",dl,40
01.200,"Cheese, hard, Parmesan","Cheese, full fat",tbsp,6
01.247,"Cheese, hard, rich, Norvegia","Cheese, full fat",slice (sliced with a cheese slicer),10
01.247,"Cheese, hard, rich, Norvegia","Cheese, full fat",for a slice of bread,20
01.247,"Cheese, hard, rich, Norvegia","Cheese, full fat",pre-sliced cheese,13
01.247,"Cheese, hard, rich, Norvegia","Cheese, full fat",dl,40
01.050,"Cheese, hard, Sveitser","Cheese, full fat",slice (sliced with a cheese slicer),10
01.050,"Cheese, hard, Sveitser","Cheese, full fat",for a slice of bread,20
01.050,"Cheese, hard, Sveitser","Cheese, full fat",pre-sliced cheese,13
01.050,"Cheese, hard, Sveitser","Cheese, full fat",dl,40
01.066,"Cheese, Mozarella","Cheese, full fat",dl,40
01.066,"Cheese, Mozarella","Cheese, full fat",one,125
01.161,"Cheese, processed, semihard, tomato flavour, Taffelost","Cheese, full fat",slice (sliced with a cheese slicer),10
01.161,"Cheese, processed, semihard, tomato flavour, Taffelost","Cheese, full fat",for a slice of bread,20
01.161,"Cheese, processed, semihard, tomato flavour, Taffelost","Cheese, full fat",pre-sliced cheese,13
01.161,"Cheese, processed, semihard, tomato flavour, Taffelost","Cheese, full fat",dl,40
01.267,"Cheese, raclette","Cheese, full fat",slice (sliced with a cheese slicer),10
01.267,"Cheese, raclette","Cheese, full fat",for a slice of bread,20
01.267,"Cheese, raclette","Cheese, full fat",pre-sliced cheese,13
01.267,"Cheese, raclette","Cheese, full fat",dl,40
01.025,"Cheese, ripened, Camembert","Cheese, full fat",slice (sliced with a knife),13
01.046,"Cheese, semihard, Port Salut","Cheese, full fat",slice (sliced with a cheese slicer),10
01.046,"Cheese, semihard, Port Salut","Cheese, full fat",for a slice of bread,20
01.046,"Cheese, semihard, Port Salut","Cheese, full fat",pre-sliced cheese,13
01.046,"Cheese, semihard, Port Salut","Cheese, full fat",dl,40
01.055,"Cheese, whey, cow and goat milk","Cheese, full fat",slice (sliced with a cheese slicer),8
01.055,"Cheese, whey, cow and goat milk","Cheese, full fat",for a slice of bread,16
01.055,"Cheese, whey, cow and goat milk","Cheese, full fat",pre-sliced cheese,12
01.053,"Cheese, whey, cow milk","Cheese, full fat",slice (sliced with a cheese slicer),8
01.053,"Cheese, whey, cow milk","Cheese, full fat",for a slice of bread,16
01.053,"Cheese, whey, cow milk","Cheese, full fat",pre-sliced cheese,12
01.052,"Cheese, whey, goat milk","Cheese, full fat",slice (sliced with a cheese slicer),8
01.052,"Cheese, whey, goat milk","Cheese, full fat",for a slice of bread,16
01.052,"Cheese, whey, goat milk","Cheese, full fat",pre-sliced cheese,12
01.186,"Cheese, whey, unspecified","Cheese, full fat",slice (sliced with a cheese slicer),8
01.186,"Cheese, whey, unspecified","Cheese, full fat",for a slice of bread,16
01.186,"Cheese, whey, unspecified","Cheese, full fat",pre-sliced cheese,12
01.185,"Cheese, white, unspecified","Cheese, full fat",slice (sliced with a cheese slicer),10
01.185,"Cheese, white, unspecified","Cheese, full fat",for a slice of bread,20
01.185,"Cheese, white, unspecified","Cheese, full fat",pre-sliced cheese,13
01.185,"Cheese, white, unspecified","Cheese, full fat",dl,40
01.117,"Cream cheese, goat milk, Snøfrisk","Cheese, full fat",for a slice of bread,15
01.260,"Cream cheese, goat milk, Snøfrisk, chantarelle","Cheese, full fat",for a slice of bread,15
01.257,"Cream cheese, goat milk, Snøfrisk, dill","Cheese, full fat",for a slice of bread,15
01.258,"Cream cheese, goat milk, Snøfrisk, red onion and thyme","Cheese, full fat",for a slice of bread,15
01.254,"Cream cheese, pepper","Cheese, full fat",for a slice of bread,15
